X,Y,Z,radius,diameter
2612214.2512352015,1266010.6916068417,280.6689371980676,3.510134601674842,7.020269203349684
2612202.9039927246,1266115.5774944257,282.6121333333333,1.9946216746541185,3.989243349308237
2612201.9983364996,1266143.0615756763,281.722905982906,1.5421328827714555,3.084265765542911
2612167.4030335755,1266196.5297644285,278.64539641943736,2.5852175168397338,5.1704350336794676
2612227.79114944,1266080.772128039,281.85977142857143,1.5192450324914675,3.038490064982935
2612245.1400019275,1266091.1324193925,281.68833333333333,3.0615432178886515,6.123086435777303
2612246.322802172,1266131.8583514008,281.70657342657336,1.3011976154201175,2.602395230840235
2612516.413763751,1266025.2041163296,279.6065584415585,1.7016191737577477,3.4032383475154955
2612689.2268550517,1266037.2303232392,276.483007518797,1.558667174022408,3.117334348044816
2612503.490037795,1266149.8807718346,277.7226486486486,1.5413411114594329,3.0826822229188657
2612501.448534776,1266162.5185704806,278.494367816092,1.6085404389538984,3.217080877907797
2612568.9536800277,1266141.252392644,274.8354639175258,1.326193448370184,2.652386896740368
2612639.424088058,1266095.7735471497,272.0578888888889,1.261083673373817,2.522167346747634
2612694.3466341724,1266123.0425206404,274.2329411764706,2.4013240976334287,4.802648195266857
2612689.4164163424,1266136.2311405414,269.64204402515725,2.045144783994522,4.090289567989044
2612617.372909748,1266003.8564738617,279.9592592592592,2.205450899901197,4.410901799802394
2612627.5876921844,1266006.4435722767,281.010234375,2.5211991814412444,5.042398362882489
2612683.0294688656,1266007.335061668,279.6080405405405,2.274390371616095,4.54878074323219
2612789.618943286,1266009.0773944338,277.97807933194156,3.5646923078998,7.1293846157996
2612751.1168279,1266037.069151435,278.95160427807485,1.5346741052663266,3.0693482105326533
2612760.2747395975,1266041.116897254,279.73844086021506,1.3151944069699353,2.6303888139398706
2612806.8271862147,1266040.370317611,277.03856481481483,1.6283768998990988,3.2567537997981977
2612817.1635382264,1266054.0431827279,277.78680203045684,1.7203117904176557,3.4406235808353114
2612909.1791943614,1266028.852867705,276.23157258064515,1.9841904441736433,3.9683808883472866
2612920.7582623777,1266030.908244231,275.2928870292887,1.806968931318411,3.613937862636822
2612723.238610374,1266084.3654035344,278.078076923077,1.511915563738597,3.023831127477194
2612789.9080395214,1266095.4983881367,277.2274100719425,1.6852560311789422,3.3705120623578844
2612838.2294677165,1266085.7222141316,275.63768656716417,1.6717289655847325,3.343457931169465
2612844.960588912,1266113.5818670336,274.2945493562232,1.8164692529396143,3.6329385058792285
2612832.24986546,1266137.6180704439,271.72176136363635,1.2575941192411804,2.5151882384823607
2612939.008498056,1266095.7632922218,277.4522540983607,2.151716248137751,4.303432496275502
2612914.9907889515,1266129.0681123757,273.8623,1.3193644895365344,2.638728979073069
2612756.290000386,1266007.983126377,281.47745547073794,4.487939567607835,8.97587913521567
2612786.960541591,1266002.6564884884,279.93326923076927,1.644563724441835,3.28912744888367
2612743.8838560586,1266031.8714006855,280.0738260869565,1.5589804109978418,3.1179608219956836
2612111.456732913,1266260.4966957248,280.6375478927203,1.3408398720578083,2.6816797441156166
2612106.716119726,1266356.3286225374,278.40084615384615,1.4359706538610042,2.8719413077220084
2612133.365533345,1266429.0358821936,278.51504132231406,2.0263161232270743,4.052632246454149
2612152.5259719593,1266418.3538766392,277.2531836734694,2.160378746452807,4.320757492905614
2612228.73691432,1266194.0506888987,280.5119658119658,1.5493981946630118,3.0987963893260235
2612310.3478878294,1266287.9820762458,279.9169756097561,2.0877362328907836,4.175472465781567
2612325.4837053763,1266276.4749970017,275.5744210526315,1.303259885105423,2.606519770210846
2612427.55347713,1266199.8419508687,277.7252363636364,2.260770661605241,4.521541323210482
2612439.1103556915,1266212.6924800607,276.80307443365695,3.0424246344404327,6.084849268880865
2612435.9845312727,1266270.3932526568,276.776265060241,1.767145363113912,3.534290726227824
2612441.7749277973,1266265.6602199876,276.92387323943666,2.208990419145135,4.41798083829027
2612282.8323516715,1266367.0266333919,278.42762025316455,3.1402751670832925,6.280550334166585
2612276.3849237035,1266398.5202714503,277.48709219858154,1.5873031374000368,3.1746062748000736
2612342.663329069,1266338.8503374604,278.49021621621625,1.3957944646329559,2.7915889292659117
2612427.4426260707,1266332.9917402968,276.0317937219731,2.741820221130481,5.483640442260962
2612438.827613196,1266363.7716771285,271.51527607361965,1.6486411307877162,3.2972822615754325
2612422.7227084255,1266442.2662063683,272.8324,1.3132438368406685,2.626487673681337
2612206.1135790986,1266470.0685430362,275.6860355029586,2.047650139489166,4.095300278978332
2612133.755553875,1266513.3128648747,278.28801843317973,3.71888130020306,7.43776260040612
2612134.115196253,1266512.8758424835,278.165223880597,2.613675348646997,5.227350697293994
2612151.3549422207,1266557.71543157,276.1841784037559,1.3187166761192488,2.6374333522384976
2612179.4432418905,1266575.2663717351,276.412358974359,2.168668946612184,4.337337893224368
2612127.9401846677,1266602.4803513703,273.94429223744294,1.4942108337262852,2.9884216674525703
2612184.4933865783,1266582.2545633179,277.4665584415585,1.3531646934131853,2.7063293868263707
2612243.9941766188,1266558.1041836208,276.03390697674416,1.276859856738397,2.553719713476794
2612241.6850463706,1266561.3313042992,275.9361956521739,2.9980869551473988,5.9961739102947975
2612247.3022670685,1266562.438140232,275.6128846153846,1.9537499000319871,3.9074998000639742
2612467.7556995,1266496.8793382812,274.89507042253524,2.5635478040695867,5.127095608139173
2612349.707971461,1266531.846986405,275.26608856088563,1.3879890748399282,2.7759781496798563
2612307.5823098924,1266698.5471312334,271.1884288747346,3.485951156965628,6.971902313931256
2612429.978600767,1266574.8355984085,270.1840793201133,2.9318013207540172,5.8636026415080345
2612415.834836141,1266581.228101836,275.63945454545456,1.3846430327434576,2.769286065486915
2612464.0551784183,1266686.071486739,277.8728021978022,1.5660116787958511,3.1320233575917023
2612562.494105536,1266213.5014872835,274.6380794701987,1.7299351956793063,3.4598703913586126
2612569.0704763406,1266222.2909874134,276.22300341296926,2.3767982501413534,4.753596500282707
2612559.882718527,1266227.109544464,275.1310429447853,2.5888036420082154,5.177607284016431
2612582.060784721,1266236.749207922,275.09774193548384,2.5855480258061347,5.1710960516122695
2612701.4868329526,1266243.886041324,274.99706521739125,1.2616643273866468,2.5233286547732936
2612633.8469731696,1266277.7997941324,272.57706586826345,1.7864507409945565,3.572901481989113
2612472.7415530016,1266392.5901105902,275.53815028901727,1.2984741646447957,2.5969483292895914
2612487.2150897314,1266430.7487885302,271.9236082474227,2.990422537556357,5.980845075112714
2612600.6932709445,1266352.12355742,276.1878301886793,1.710277412621999,3.420554825243998
2612666.0781742577,1266337.4172617816,273.08641860465116,1.8345905963593077,3.6691811927186153
2612681.060714118,1266326.672312722,275.17533783783784,2.073126036327748,4.146252072655496
2612649.912709528,1266405.3495886615,274.98325000000006,1.5877644956825303,3.1755289913650606
