X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613470.81;1266721.2;261.96;82;64;67;0.32;-0.09;0.94;9;9
2613466.31;1266726.31;263.3;85;60;56;-0.08;0.07;0.99;9;9
2613464.71;1266728.51;262.35;81;59;59;-0.58;-0.31;0.75;9;9
2613472.65;1266730.47;262.64;82;56;57;-0.49;0.49;0.72;79;9
2613463.73;1266723.58;262.33;90;66;64;-0.26;-0.49;0.83;9;9
2613469.21;1266723.4;262.18;80;61;57;-0.31;-0.06;0.95;9;9
2613473.38;1266731.57;262.87;83;61;58;0.47;0.11;0.88;79;9
2613464.71;1266727.57;262.68;88;67;61;-0.66;0.04;0.75;9;9
2613469.33;1266721.0;262.2;84;61;59;-0.06;-0.46;0.89;9;9
2613462.42;1266728.61;261.26;64;51;47;-0.77;0.38;0.51;9;9
2613466.86;1266729.53;262.88;83;56;52;-0.77;-0.12;0.62;9;9
2613468.22;1266722.43;261.78;80;60;54;-0.22;0.27;0.94;9;9
2613466.31;1266727.46;262.42;117;104;130;-0.67;-0.19;0.72;9;9
2613464.15;1266725.51;261.67;113;97;119;0.01;0.13;0.99;9;9
2613466.12;1266731.16;262.15;91;66;69;-0.27;0.39;0.88;72;9
2613462.79;1266729.22;261.4;66;52;50;-0.68;0.3;0.67;9;9
2613469.94;1266728.83;263.7;80;58;58;0.07;-0.17;0.98;79;9
2613470.43;1266732.28;263.65;88;63;63;-0.19;0.09;0.98;79;9
2613467.98;1266725.81;263.64;86;63;65;0.14;-0.2;0.97;9;9
2613465.26;1266730.73;262.13;94;74;69;-0.26;0.13;0.96;72;9
2613462.98;1266728.72;261.69;79;60;58;-0.55;0.33;0.76;9;9
2613471.55;1266721.45;261.78;78;62;61;0.27;-0.15;0.95;9;9
2613464.27;1266729.25;262.14;90;66;70;-0.27;0.32;0.91;9;9
2613463.04;1266727.67;261.64;83;61;58;-0.27;0.12;0.96;9;9
2613469.94;1266724.93;262.67;74;54;53;0.48;0.04;0.88;9;9
2613467.12;1266720.83;261.78;85;62;57;-0.02;-0.34;0.94;9;9
2613463.85;1266724.8;262.63;86;65;63;-0.39;-0.04;0.92;9;9
2613468.1;1266719.91;261.73;88;68;63;-0.07;-0.17;0.98;9;9
2613470.07;1266719.97;261.79;81;63;63;0.26;-0.22;0.94;9;9
2613464.58;1266728.94;262.31;93;69;75;-0.5;0.06;0.86;9;9
2613468.77;1266723.35;261.93;79;60;55;-0.71;-0.37;0.6;9;9
