Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612749.5455555557,1266071.691111111,291.7,6.77
2,2612753.683548387,1266071.644516129,291.7,6.28
3,2612151.24,1266080.53,289.57,7.14
4,2612772.8969767443,1266005.8939534884,289.47,10.46
5,2612261.8935087724,1266151.1764912282,288.54,8.52
6,2612189.49,1266116.58,287.65,6.68
7,2612176.013809524,1266111.6038095239,287.61,7.31
8,2612227.1300000004,1266078.7000000002,286.92,7.98
9,2612167.550606061,1266093.973939394,286.78,6.48
10,2612218.2221428575,1266084.6514285714,286.76,8.44
11,2612261.6512903227,1266144.7090322583,286.72,6.28
12,2612123.2172727273,1266077.7315151517,286.63,6.48
13,2612791.5500000003,1266024.86,286.55,7.98
14,2612696.383333334,1266012.7666666668,286.43,9.77
15,2612244.5941666667,1266090.6633333333,286.42,7.82
16,2612227.671818182,1266160.4345454546,286.22,8.37
17,2612203.24,1266114.2390909093,286.18,7.48
18,2612303.1053846157,1266103.0415384616,286.16,4.07
19,2612306.7841176474,1266102.3447058825,286.12,4.65
20,2612751.275714286,1266017.484761905,286.1,7.31
21,2612194.756666667,1266090.1577777779,286.01,7.57
22,2612182.8413513517,1266104.444864865,285.98,6.86
23,2612161.632857143,1266093.5085714287,285.92,4.22
24,2612246.8839393943,1266073.4890909093,285.9,6.48
25,2612236.90509434,1266171.0328301887,285.7,8.21
26,2612237.6607317077,1266109.2385365854,285.69,7.23
27,2612177.882857143,1266101.472857143,285.46,5.97
28,2612194.542631579,1266106.6589473684,285.39,6.96
29,2612115.109047619,1266162.6752380952,285.38,7.31
30,2612687.0525,1266024.001875,285.31,9.03
31,2612667.9672727273,1266019.0572727274,285.3,7.48
32,2612759.6900000004,1266007.78,285.3,5.05
33,2612201.99,1266141.58,285.15,6.96
34,2612206.0706451614,1266193.257419355,285.15,6.28
35,2612227.0002040816,1266177.049387755,285.1,7.9
36,2612754.002195122,1266003.3117073171,285.1,7.23
37,2612208.49,1266157.691111111,285.07,5.86
38,2612214.99,1266204.83,285.07,5.53
39,2612107.702121212,1266128.7921212122,285.05,6.48
40,2612763.615,1266014.455,285.05,3.19
41,2612217.5156410257,1266077.7082051283,285.03,7.05
42,2612316.5900000003,1266096.3800000001,285.0,5.05
43,2613263.865,1266088.58,285.0,3.19
44,2613175.049322034,1266889.8342372882,284.96,8.67
45,2612109.8233333337,1266251.275652174,284.91,9.37
46,2612793.6566666667,1266052.0133333334,284.9,6.18
47,2612253.7519047624,1266137.3180952382,284.87,7.31
48,2612739.8746153847,1266004.6056410258,284.85,7.05
49,2612247.4491836736,1266130.4371428571,284.8,7.9
50,2612111.354864865,1266258.390810811,284.76,6.86
51,2612280.9416129035,1266234.9993548389,284.76,6.28
52,2612635.1700000004,1266005.08,284.76,11.28
53,2613258.4778048783,1266817.567804878,284.75,10.22
54,2612185.0614285716,1266300.9514285715,284.74,6.68
55,2612312.2547058826,1266095.8152941177,284.72,4.65
56,2612244.0284615387,1266160.1184615386,284.66,7.05
57,2612758.378888889,1266026.6170370372,284.65,5.86
58,2612189.607647059,1266130.6388235295,284.6,6.58
59,2612258.432857143,1266083.4942857143,284.56,6.68
60,2612725.49,1266028.9670967744,284.54,6.28
61,2612123.8709523813,1266200.722857143,284.49,7.31
62,2612241.2042857143,1266200.58,284.49,2.99
63,2612115.628888889,1266197.1633333333,284.48,6.77
64,2612141.193703704,1266213.3762962965,284.48,8.29
65,2612179.6512903227,1266308.5477419356,284.48,6.28
66,2612759.49,1266022.2942857144,284.41,2.99
67,2612707.938979592,1266037.6820408164,284.39,7.9
68,2613245.3471428575,1266728.1254545455,284.38,9.9
69,2612104.6381481485,1266241.9874074075,284.37,5.86
70,2612157.6215789476,1266316.5273684212,284.37,6.96
71,2612129.9461403512,1266346.3168421052,284.36,8.52
72,2612789.861428572,1266006.6085714286,284.35,6.68
73,2612251.7547058826,1266236.3447058825,284.34,6.58
74,2612184.8114285716,1266098.08,284.32,5.97
75,2612190.6566666667,1266175.7466666668,284.31,5.53
76,2612626.537619048,1266008.0085714287,284.29,5.17
77,2612105.9515384617,1266238.2723076923,284.29,5.75
78,2612111.3737209304,1266184.184651163,284.27,7.4
79,2612275.602676057,1266221.5236619718,284.26,9.51
80,2612271.813529412,1266248.0211764707,284.25,6.58
81,2612777.4066666667,1266033.1355555556,284.25,6.77
82,2612173.39,1266252.53,284.24,5.05
83,2612669.8570886077,1266007.909113924,284.2,10.03
84,2612794.4373684213,1266062.4396491228,284.16,8.52
85,2612723.52125,1266041.36125,284.14,6.38
86,2612303.7602702705,1266186.0664864865,284.13,6.86
87,2612693.9368085107,1266080.9417021277,284.1,7.74
88,2612133.6251351354,1266334.7691891892,284.07,6.86
89,2612143.525714286,1266205.1514285714,284.03,5.97
90,2612757.533478261,1266014.971304348,284.03,5.41
91,2612261.9290243904,1266089.4580487804,283.97,7.23
