Tree_ID,X,Y,Z,Crown_Diameter_m,height_m
199,2612340.0945454547,1266166.7575,282.79,5.29,8.88
200,2612517.9692349727,1266614.813169399,282.31,7.63,14.27
201,2612187.543846154,1266487.8930769232,283.3,4.55,13.55
202,2612139.41631579,1266470.8156140351,284.62,4.26,14.03
203,2612146.835783133,1266490.78686747,283.39,5.14,13.36
204,2612129.7106106877,1266437.0967175574,282.43,6.46,11.34
205,2612416.493448276,1266039.147586207,282.53,4.3,17.6
206,2612112.575483871,1266299.505483871,283.11,6.28,9.81
207,2612197.491010101,1266447.272020202,282.73,5.61,12.09
208,2612195.5945454547,1266491.1381818182,283.78,4.58,13.79
209,2612118.771443299,1266380.8792783506,283.2,5.56,11.01
210,2612381.974507042,1266039.7249295774,282.99,4.75,15.31
211,2612295.763831776,1266198.7242056075,282.21,5.84,7.67
212,2612936.546565657,1266142.4563636363,282.29,7.94,16.47
213,2612106.546716418,1266421.57,282.35,4.62,10.83
214,2612368.486153846,1266199.868076923,282.33,5.75,9.21
215,2612270.133243243,1266212.961891892,282.28,4.85,7.78
216,2612622.8465217394,1266058.6383229815,282.13,7.16,12.69
217,2612159.8381481483,1266404.403333333,282.24,6.56,10.54
218,2612212.680909091,1266489.12,282.14,5.92,12.23
219,2612309.672312925,1266288.107414966,282.15,6.84,9.14
220,2612137.1525000003,1266399.024166667,282.88,6.18,10.72
221,2612158.191724138,1266471.1389655173,282.54,6.08,12.26
222,2612498.935454545,1266624.557603306,282.03,8.78,13.81
223,2612515.791041666,1266600.450208333,282.01,7.82,13.78
224,2612121.1519047623,1266452.314047619,283.89,5.17,13.02
225,2612145.780804598,1266401.897586207,282.18,5.26,10.4
226,2612201.1731858407,1266490.7204424778,283.62,6.0,13.72
227,2612341.1161904763,1266216.4866666668,281.94,6.33,8.49
228,2612518.421835206,1266876.556891386,281.93,9.22,16.27
229,2612919.2875903617,1266244.1212048193,281.98,7.27,10.93
230,2612216.083251534,1266495.6374846627,281.99,7.2,12.18
231,2612112.935454545,1266376.6063636364,284.41,4.18,12.16
232,2612675.3540883977,1266148.967790055,281.99,7.59,17.51
233,2612406.725858586,1266553.1785858583,281.93,7.94,13.21
234,2612230.314137931,1266430.9113793103,282.7,6.79,12.21
235,2612121.653157895,1266469.7384210527,284.7,5.5,14.18
236,2612614.079189189,1266129.5091891892,281.98,6.86,18.09
237,2612370.816470589,1266106.7832352945,282.81,4.65,8.7
238,2612321.4192397664,1266292.2103508774,281.86,7.38,9.26
239,2612237.9466037736,1266440.8388679246,282.23,5.81,11.85
240,2612774.659230769,1266027.868076923,281.97,8.14,10.4
241,2612678.6486206898,1266029.621724138,281.92,6.08,9.69
242,2612818.54,1266022.8795238095,281.78,8.18,10.36
243,2612494.248552632,1266923.0963157895,281.91,6.96,17.08
244,2612224.321818182,1266502.4222727274,281.82,5.29,12.01
245,2612479.006071429,1266013.5164285714,282.89,4.22,9.32
246,2612365.6015384616,1266638.1565384616,282.48,4.07,13.95
247,2612546.047303371,1266048.3396629214,281.93,5.32,13.08
248,2612175.472781457,1266437.0004635763,281.88,6.93,10.89
249,2612311.916785714,1266724.2098809525,281.92,7.31,13.72
250,2612535.056666666,1266621.7620289857,281.67,6.63,13.55
251,2612110.89,1266456.6489473684,284.39,4.26,13.42
252,2612620.954516129,1266116.7232258066,282.69,4.44,18.48
253,2612667.499649123,1266058.868245614,281.9,6.02,11.42
254,2612852.7763636364,1266011.5862337663,281.66,7.0,11.74
255,2612631.607857143,1266115.62,281.69,6.68,17.16
256,2612239.2383146067,1266899.3761797757,282.07,7.53,15.57
257,2612354.2266666666,1266209.4833333334,281.73,6.91,8.22
258,2612236.016865672,1266154.2491044777,285.08,4.62,9.93
259,2612348.8810179643,1266653.6208982037,281.6,7.29,12.99
260,2612231.539717514,1266512.5276271186,281.62,7.51,11.8
261,2612107.5134567902,1266395.5761728396,281.65,5.08,9.71
262,2613060.480277778,1266259.1568055556,281.6,6.77,12.02
263,2612429.5263636364,1266113.2290909092,281.7,4.58,8.55
264,2612166.2922988506,1266454.48954023,281.72,5.26,11.15
265,2612156.2885507247,1266398.026521739,284.16,4.69,12.08
266,2612135.2673584907,1266454.032264151,282.23,5.81,11.45
267,2612415.427037037,1266583.1132098767,281.68,5.08,13.24
268,2612194.3012903226,1266481.376451613,282.46,4.44,12.49
269,2612150.7779310346,1266401.7251724135,282.03,4.3,10.04
270,2612572.6921582734,1266184.5160431657,281.57,6.65,11.8
271,2612411.6257142858,1266064.7771428572,282.96,4.72,9.07
272,2612225.2001265823,1266413.6269620254,281.73,7.09,10.91
273,2612175.0965217394,1266569.1895652174,281.5,7.65,12.38
274,2612206.811428572,1266577.0128571428,281.49,6.68,12.22
275,2612489.95712963,1266915.2875925926,281.52,8.29,16.54
276,2612223.153636364,1266161.0972727274,282.57,4.18,7.5
277,2612403.9926490067,1266672.4243046355,281.51,6.93,13.19
278,2612174.822960894,1266513.2292178771,281.44,7.55,11.59
279,2612354.170864198,1266661.0545679012,281.55,7.18,13.14
280,2612244.2770967744,1266227.6990322582,282.6,3.14,8.63
281,2612114.923653846,1266451.6325,283.46,5.75,12.78
282,2612198.7687128712,1266544.164059406,281.69,8.02,12.31
283,2612699.5801408454,1266023.351690141,281.41,6.72,9.25
284,2612479.790621118,1266620.0762111803,281.4,7.16,12.97
285,2612511.51295082,1266015.201147541,281.93,4.41,8.67
286,2612530.1641935487,1266056.2312903227,284.16,3.14,15.93
287,2612340.1577419355,1266304.2732258064,281.33,7.02,8.97
288,2612548.2081818185,1266167.121948052,281.48,4.95,10.92
289,2612134.5983333336,1266411.695,281.76,6.77,10.17
290,2612107.644385965,1266307.8507017544,282.79,4.26,9.61
291,2612534.2983333333,1266593.8283333334,281.33,7.57,13.13
292,2612359.307582417,1266656.3447252747,281.47,7.61,12.96
293,2612194.419255319,1266402.2375531916,281.51,7.74,9.81
294,2612296.831666667,1266281.0783333334,281.41,6.18,8.26
295,2612616.0734862387,1266065.1755045871,281.77,5.89,13.03
296,2612627.12828125,1266121.0621875,281.53,6.38,17.45
297,2612859.935454545,1266020.3037662338,281.32,7.0,11.07
298,2612250.1100000003,1266447.33,281.92,3.99,11.58
299,2612181.962463768,1266553.3852173914,281.38,6.63,12.71
300,2612331.9629927007,1266214.1064963504,281.32,6.6,7.63
301,2612306.0524203824,1266277.4235031847,281.45,7.07,8.31
302,2612460.2800709223,1266597.1231914894,281.29,6.7,12.65
303,2612384.457251462,1266885.4998245614,281.39,7.38,15.23
304,2612699.787637796,1266004.6566141732,281.29,6.36,8.64
305,2612327.0047540986,1266286.7093442625,281.6,6.23,8.86
306,2612636.0691044778,1266050.9319402983,281.3,6.53,10.38
307,2612441.3665625,1266059.773125,282.01,4.51,17.6
308,2612124.6862962963,1266436.378641975,281.95,5.08,10.84
309,2612470.475164836,1266594.243076923,281.34,7.61,12.9
310,2612133.22125,1266443.28875,281.88,5.05,10.97
311,2612547.2077083336,1266156.804375,281.47,5.53,10.71
312,2612370.080647482,1266229.0843884894,281.23,6.65,8.44
313,2612198.143012048,1266499.5820481929,281.48,5.14,11.64
314,2612155.5432258067,1266428.376451613,281.3,6.28,10.13
315,2612119.4865909093,1266317.973409091,281.24,5.29,8.15
316,2612126.7073076926,1266446.7046153846,284.02,4.07,13.12
317,2612672.691369863,1266057.8987671237,281.62,4.82,10.91
318,2612380.24862069,1266233.4803448278,281.27,6.79,8.82
319,2612108.4650000003,1266429.9575,281.27,5.05,9.75
320,2612313.228888889,1266206.5477777778,281.47,5.35,7.36
321,2612707.7930612247,1266052.0036734694,281.22,5.59,10.4
322,2612660.341807229,1266053.365180723,281.43,5.14,10.99
323,2612347.39,1266213.5121052633,281.22,5.5,7.74
324,2613201.1998958336,1266099.5804166668,281.17,7.82,12.86
325,2612328.041724138,1266746.7424137932,281.14,6.79,12.99
326,2612683.231232228,1266134.0865876777,281.17,8.2,16.97
327,2612156.7220610688,1266504.2799236642,281.35,6.46,12.12
328,2612127.0853125,1266450.585625,284.07,4.51,13.3
329,2612104.570327869,1266369.0781967214,283.07,4.41,10.64
330,2612928.288989899,1266236.6482828285,281.09,7.94,10.0
331,2612457.7908264464,1266510.1857024794,281.1,6.21,12.95
332,2612536.813497268,1266612.6219125683,281.09,7.63,13.0
333,2612202.681666666,1266539.8427272728,281.9,6.48,12.24
334,2612346.2990909093,1266146.3063636364,282.66,4.18,8.58
335,2612750.6775,1266032.495,281.15,7.14,9.57
336,2612573.149036145,1266172.943493976,281.21,5.14,11.12
337,2612193.4484415585,1266418.6674025974,281.71,4.95,10.61
338,2612383.101656442,1266879.1742944785,281.7,7.2,15.5
339,2612185.023802817,1266399.055915493,281.24,4.75,9.65
340,2612338.2415625,1266150.804375,282.4,4.51,8.25
341,2612246.219787234,1266446.5487234043,282.07,3.87,11.88
342,2612202.2087134505,1266572.549532164,281.09,7.38,11.8
343,2612596.3400000003,1266185.025882353,281.01,7.36,11.78
344,2612384.688913044,1266560.2819565218,281.11,5.41,12.38
345,2612211.6978703705,1266559.3940740742,281.22,8.29,11.86
346,2612519.2150000003,1266663.095,281.62,5.64,13.58
347,2612331.691724138,1266298.0829310345,281.04,6.08,8.51
348,2612585.94,1266192.50125,281.33,5.05,12.28
349,2612419.456860465,1266249.43627907,281.1,7.4,9.45
350,2612145.011212121,1266427.2821212122,282.38,5.61,11.22
351,2612160.89,1266452.3678723406,281.76,3.87,11.13
352,2612119.902987013,1266409.0180519482,281.37,4.95,9.71
353,2612751.8745360826,1266501.7297938145,281.06,7.86,12.7
354,2612629.48798995,1266489.9242713568,281.23,7.96,12.97
355,2612284.935454545,1266162.5336363637,281.99,4.18,7.12
356,2612155.0490909093,1266414.3336363635,281.73,5.92,10.02
357,2612195.2035593223,1266453.07,282.36,4.33,11.78
358,2612649.425714286,1266131.945,281.2,5.97,17.18
359,2612447.5653246758,1266580.9661038965,281.06,4.95,12.52
360,2612340.0045833336,1266292.090833333,281.26,5.53,8.89
361,2612208.239462366,1266582.0269892474,280.99,5.44,11.63
362,2612223.4821052635,1266461.3594736843,283.43,6.96,13.05
363,2612650.06355372,1266060.4832231405,280.93,6.21,11.0
364,2612163.450150376,1266466.9346616543,281.47,6.51,11.15
365,2612694.64,1266024.07,281.06,2.65,8.8
366,2612691.786551724,1266024.5872413793,281.19,4.3,9.55
367,2612472.31,1266001.21,281.83,4.89,7.42
368,2612122.043333333,1266393.23,282.83,4.89,10.92
369,2612306.6473529413,1266723.9155882352,281.7,4.65,13.62
370,2612390.912727273,1266236.962045455,280.84,7.48,8.58
371,2612398.41631579,1266241.5583040935,280.85,7.38,8.8
372,2612648.5026760567,1266044.879859155,281.15,4.75,8.83
373,2612654.096896552,1266131.213678161,281.15,5.26,17.12
374,2612575.305789474,1266179.5173684212,280.97,5.5,10.99
375,2612857.4717757013,1266428.1564485985,280.86,8.25,12.19
376,2612109.567419355,1266391.5780645162,283.76,4.44,11.71
377,2612249.0539676114,1266410.7258704454,280.8,8.87,9.78
378,2612161.5384375,1266411.28875,281.12,6.38,9.46
379,2612581.1064179107,1266474.1297014926,280.85,8.0,12.79
380,2612708.1083098594,1266035.9995774648,280.94,4.75,9.68
381,2613478.308128655,1266044.833157895,280.81,7.38,20.84
382,2612192.5354545456,1266534.1972727273,280.96,4.18,11.47
383,2612642.897575758,1266066.1457575758,281.68,4.58,12.39
384,2612504.4234928237,1266637.8188038275,280.72,8.16,12.61
385,2612431.4581818185,1266631.774545455,280.78,6.48,12.39
386,2612527.515,1266168.9397916668,280.91,5.53,10.14
387,2612356.3445454547,1266552.2896969698,281.61,4.58,12.82
388,2612706.5868085106,1266003.687021277,280.8,5.47,8.18
389,2612225.5263636364,1266425.7453246757,281.34,4.95,10.63
390,2612195.7737209303,1266535.866511628,280.9,5.23,11.21
391,2612161.6421008403,1266568.662436975,280.94,6.15,11.46
392,2612176.845128205,1266404.1853846156,281.73,4.98,9.97
393,2612304.770597015,1266203.1894029852,281.55,4.62,7.23
394,2612492.6067630057,1266245.9486127167,280.76,7.42,10.74
395,2612148.819411765,1266421.781764706,281.67,5.2,10.29
396,2612235.0945454547,1266529.2096103898,280.71,7.0,11.09
397,2612679.6746153845,1266014.2623076923,281.99,4.55,9.5
398,2612163.621481481,1266487.653333333,283.23,4.15,13.37
399,2612495.971818182,1266009.260909091,281.95,4.18,8.09
400,2612109.113404256,1266369.0061702128,283.03,3.87,10.71
401,2612194.2,1266424.586666667,280.74,6.91,9.76
402,2612660.705625,1266135.166875,280.6,7.14,16.43
403,2612169.817536232,1266439.07,280.86,4.69,9.95
404,2612369.015698324,1266309.187318436,280.65,7.55,9.04
405,2612385.9982474227,1266509.7401030927,280.8,5.56,11.79
406,2612572.6862962963,1266399.2604761906,280.63,7.76,12.5
407,2612377.456666667,1266577.431904762,280.65,5.78,11.84
408,2612180.2314634146,1266490.813902439,283.12,3.61,14.1
409,2612472.339367089,1266243.750379747,280.67,7.09,9.98
410,2612189.0831818185,1266534.945,281.16,3.74,11.71
411,2612225.449055118,1266507.4991338584,280.94,6.36,11.21
412,2612176.063333333,1266417.13,281.85,4.89,10.68
413,2612404.1480645165,1266586.7151612905,280.67,5.44,11.93
414,2612529.047303371,1266447.7357303372,280.52,7.53,12.14
415,2612764.8416129034,1266029.1398924731,280.65,5.44,8.92
416,2612574.8042011834,1266237.4575739645,280.63,7.33,11.74
417,2612390.1273417724,1266677.9181012658,280.58,7.09,12.22
418,2612736.020952381,1266074.5164285714,280.85,5.17,10.2
419,2612655.943571429,1266052.7932142855,281.13,4.22,10.72
420,2612665.9497014927,1266019.122238806,280.78,4.62,8.5
421,2612408.911212121,1266245.4730303031,280.45,7.25,8.54
422,2612248.080909091,1266491.8154545454,280.7,5.92,11.05
423,2612694.2346601943,1266161.2908737864,280.45,8.1,13.35
424,2612551.915,1266579.1005555557,280.46,7.57,12.24
425,2612160.0246153846,1266483.3776923078,282.17,4.07,11.99
426,2613371.29,1266797.45,280.85,4.89,22.98
427,2612457.554473684,1266538.2673684212,280.55,4.92,12.22
428,2613257.7719444446,1266801.0144444446,280.45,8.29,14.28
429,2612180.666699029,1266457.560291262,281.31,5.73,10.86
430,2612556.336666667,1266175.2233333334,280.81,4.89,10.42
431,2612655.79,1266125.9494117647,280.44,7.36,16.27
432,2612417.29625,1266709.1438636363,280.4,7.48,12.44
433,2612259.7685714285,1266469.448571429,281.07,4.72,11.26
434,2612917.784117647,1266057.087647059,280.41,7.36,10.72
435,2612747.618915662,1266037.166385542,280.5,5.14,9.04
436,2613245.7565048547,1266805.8806796118,280.43,8.1,14.12
437,2612316.753636364,1266283.0602597403,280.42,7.0,7.35
438,2612433.1824528305,1266065.7681132075,281.79,4.11,15.22
439,2612565.332528736,1266525.6245977012,280.45,7.44,11.81
440,2612682.865177305,1266071.2650354612,280.36,6.7,10.51
441,2612183.14,1266486.945,283.31,4.07,14.05
442,2612183.030718563,1266548.5729940122,280.46,7.29,11.38
443,2613139.2589024394,1266313.951097561,280.5,7.23,12.25
444,2612506.5871153846,1266207.5796153846,280.4,5.75,9.92
445,2612394.802751678,1266627.5532214765,280.39,6.89,12.05
446,2612234.192631579,1266600.5732894738,280.35,6.96,11.24
447,2612164.3412195123,1266425.1980487804,280.63,5.11,9.16
448,2612151.14,1266499.050263158,280.6,6.96,10.64
449,2612677.1814572867,1266451.8639698494,280.38,7.96,10.61
450,2612588.676585366,1266121.1553658538,280.43,5.11,16.9
451,2612873.470745342,1266040.7501242238,280.29,7.16,10.05
