Tree_ID,X,Y,Z,Height_m,Crown_Diameter_m
138,2612894.065194643,1266131.2506107385,275.157389261745,8.72,4.33
139,2612902.5059176353,1266125.8277239965,275.03246387283247,6.8,4.67
140,2612930.0642735134,1266090.762177689,276.17306471132804,8.73,10.12
141,2612917.706969759,1266122.9345005283,275.11574920858175,9.28,7.3
142,2612943.351338332,1266107.594540334,276.59962476547946,7.2,4.45
143,2612897.122409269,1266165.0532661262,275.6085887096779,8.07,4.47
144,2612854.2589356597,1266168.5361080244,276.5967831612395,7.23,5.85
145,2612875.7517044093,1266166.1908410948,273.5589125610301,9.01,9.8
146,2612860.35597172,1266184.6282841323,276.79939114391163,7.53,4.69
147,2612872.337911346,1266182.7194590576,278.7205334335093,8.86,4.2
148,2612863.4264013413,1266194.2613965762,275.91108674928523,7.13,4.99
149,2612907.4425504524,1266164.99651376,276.2248073394499,6.73,3.77
150,2612907.3510640357,1266197.9460692182,277.4883677685939,7.86,4.96
151,2612917.329582424,1266163.8877142838,276.4469010989008,6.42,4.11
152,2612928.9523429875,1266163.4270289864,277.1812439613519,6.99,3.93
153,2612939.110094735,1266162.4959810555,276.66683355886323,6.62,3.86
154,2612971.382507319,1266135.1428581933,269.959978070175,2.87,6.46
155,2612948.872664793,1266162.865610096,276.0072370266483,5.55,3.92
156,2612961.026920722,1266162.22620427,276.76966463414647,6.16,3.74
157,2612120.231615785,1266199.4744503142,280.69321205007697,8.41,6.96
158,2612142.569437726,1266211.1501621183,280.9140837266586,8.47,7.15
159,2612105.599711781,1266240.6004893426,280.4617922545787,8.98,5.79
160,2612110.8896218855,1266254.4452243587,280.56412240694084,9.63,7.24
161,2612123.1434824443,1266256.152302636,278.02713596491304,5.7,5.79
162,2612150.3115219986,1266255.4784066589,278.24325802615937,5.03,3.87
163,2612157.3228604947,1266202.927523513,279.88921238244455,6.9,5.51
164,2612156.188961536,1266227.8341038465,279.5182269230767,6.8,5.6
165,2612215.061113583,1266205.4731477385,282.5741425389762,8.12,4.56
166,2612192.111861013,1266222.2031582955,280.19179922779944,7.03,4.3
167,2612178.0616412843,1266234.1585956062,280.96908629441594,7.82,4.3
168,2612163.6916763056,1266245.0048843867,280.2437052023118,8.15,4.59
169,2612173.758744183,1266253.0084651157,281.56253023255783,7.15,4.12
170,2612193.6027540215,1266237.8347459887,279.7083556149735,6.02,3.92
171,2612201.450623191,1266231.3814565167,280.99412318840615,8.19,4.51
172,2612185.234675731,1266243.6804497913,279.92943514644406,4.9,4.17
173,2612103.568774756,1266265.8084886349,278.5393396918558,6.71,4.24
174,2612120.313927415,1266270.188898514,279.6119430693062,7.89,7.69
175,2612111.468190637,1266277.905727741,279.5963299086756,8.21,6.41
176,2612151.3190737558,1266271.3750257266,280.8178730703254,3.77,3.96
177,2612131.967837949,1266286.2384953736,280.7506851851852,6.85,6.16
178,2612142.8244334343,1266278.1629461735,279.61975920679856,4.43,4.15
179,2612106.1631569224,1266309.0329804956,273.1702878365836,0.98,6.87
180,2612115.0023721443,1266298.5450707274,280.66268770402587,5.63,4.48
181,2612107.713122863,1266302.4205802036,280.0382081911264,5.02,3.96
182,2612123.1009284155,1266294.06427293,279.6583109619692,6.49,4.13
183,2612162.124434642,1266262.0818845204,280.81287890938324,8.25,4.29
184,2612177.985885259,1266296.4881750748,279.11262116716074,8.01,4.97
185,2612169.2233169763,1266318.5845020986,279.1242426367458,7.7,4.63
186,2612158.017280209,1266316.9083290512,281.59456041131006,8.94,4.88
187,2612182.6558163,1266305.7020702101,281.573541716758,10.3,7.39
188,2612117.837133764,1266341.675928465,280.37923076923045,9.73,4.84
189,2612108.4001936135,1266355.111644133,278.5961800860492,8.85,5.4
190,2612134.3713304996,1266335.266906779,280.3427584745758,9.98,5.0
191,2612143.5131735033,1266327.108727111,278.10102877070636,6.55,4.11
192,2612130.432122145,1266346.708229276,280.8007676560898,10.38,5.57
193,2612183.2399058887,1266376.4326239657,278.1240059687803,8.77,6.9
194,2612174.632975221,1266390.7924607575,278.1036327171254,8.33,8.58
195,2612193.5022922903,1266395.201684852,278.38340701802275,10.4,13.36
196,2612120.8582777246,1266399.2347159605,278.9800901713252,5.6,4.5
197,2612106.3691191706,1266402.725621761,276.97028497409343,2.44,3.71
198,2612128.448589637,1266403.9354422318,278.59073306772933,5.38,4.85
199,2612121.6080820714,1266414.396449604,279.45523639607524,7.76,4.28
200,2612140.47744634,1266411.5317718673,278.68066004485746,8.66,6.99
201,2612111.572100913,1266428.774873888,278.0802809243288,9.81,7.82
202,2612129.453391043,1266419.2400611013,277.1605295315687,5.26,4.21
203,2612135.060668349,1266426.8279419867,277.9733896595212,8.87,6.07
204,2612155.283467483,1266421.2977698352,278.4093305754041,8.25,6.76
205,2612144.854511557,1266428.8676221073,277.5485989717221,5.52,3.9
206,2612143.887155323,1266439.2182031195,278.7319692095605,11.51,5.71
207,2612152.242567132,1266434.5490758233,278.0200631911541,7.05,4.31
208,2612164.452230289,1266391.0360217884,278.1402956431535,7.9,4.96
209,2612165.9842429277,1266429.723760399,279.6385940099838,6.31,4.82
210,2612159.5476991204,1266438.596519174,278.15384955752216,4.62,3.73
211,2612167.7402944597,1266444.7006478196,276.5886336866899,6.41,3.93
212,2612174.2159495368,1266434.650624606,278.1501766561513,8.37,4.66
213,2612182.124258013,1266440.482714394,279.04710663683784,7.64,4.73
214,2612194.4229402603,1266447.5117109825,277.83506358381544,8.04,6.78
215,2612220.9280038355,1266199.15346449,281.38697696737034,6.48,4.08
216,2612228.133758626,1266210.2173362095,281.8486982758624,5.31,4.56
217,2612241.011741429,1266200.25216359,282.9185751978892,4.56,4.2
218,2612235.3567241374,1266205.0940421454,280.96503831417624,3.57,3.96
219,2612221.9298036364,1266215.5792566617,280.3593828892011,5.08,4.15
220,2612276.202894726,1266222.1473327402,280.3493019625329,8.77,6.55
221,2612223.806507617,1266268.3552829,279.3051706308165,6.1,12.32
222,2612258.9781853384,1266234.6353399304,279.6641799563517,8.96,7.66
223,2612257.96535776,1266251.123408955,279.63436300174584,7.43,4.6
224,2612272.2715597255,1266248.683599375,281.34930620761685,7.4,4.85
225,2612342.4506063256,1266209.842706498,278.3479964850619,5.89,4.51
226,2612281.2422528076,1266235.4612873134,281.20124533582117,9.27,4.83
227,2612227.084634588,1266313.9814616747,277.916185383244,4.0,3.86
228,2612227.718143398,1266322.3435979516,277.5492061459674,5.37,3.99
229,2612310.720096257,1266287.691361851,279.26686631016076,9.15,4.99
230,2612337.537599061,1266305.5187762198,277.9102214452218,7.49,4.62
231,2612323.354972654,1266306.5794783356,279.2693437105596,9.32,4.86
232,2612320.649913605,1266319.3690380116,278.4036751152073,7.62,4.7
233,2612335.1131917643,1266320.1317551509,278.2165396627102,8.19,4.29
234,2612460.818306322,1266266.2220885227,276.2855927977195,9.89,14.59
235,2612388.7903304943,1266297.8466143527,277.9208757780331,10.35,8.26
236,2612414.7806098927,1266330.8745053445,276.3205044969099,8.17,8.91
237,2612229.211743375,1266329.7028730835,277.8406136680615,5.32,3.99
238,2612230.009389255,1266350.0828844712,277.3389845474621,3.14,6.0
239,2612229.4891891833,1266337.5111583013,278.2837966537965,4.6,4.17
240,2612260.16950919,1266345.481159506,277.16528834355745,7.34,4.38
241,2612270.7548988303,1266349.1060024614,277.18497854077197,6.95,4.4
242,2612232.376585045,1266370.0023130781,276.68110625273306,4.8,7.64
243,2612233.2234632545,1266388.876389775,276.3207412140584,5.72,6.03
244,2612267.200475465,1266373.4921410144,278.3921477087908,10.6,8.2
245,2612282.6024074606,1266367.5044516127,277.9709235993212,9.06,5.23
246,2612235.446626687,1266401.294362817,275.74326836581747,5.11,3.86
247,2612236.862263516,1266409.1043355847,276.32895270270274,5.77,4.41
248,2612284.7529169866,1266397.1661341889,277.09432631691465,9.03,8.43
249,2612269.549915385,1266412.2260356355,276.8318173719375,8.06,4.89
250,2612238.4007692286,1266417.0422448986,277.1885557299836,4.99,3.77
251,2612241.2097021323,1266425.0548510666,275.4750744680854,5.17,4.86
252,2612242.2552148583,1266432.6036933786,276.54219512195124,6.68,4.2
253,2612245.145298013,1266439.864260487,276.1190728476819,3.72,3.73
254,2612247.704612404,1266446.6280038753,275.1812984496123,4.05,3.67
255,2612287.2641718667,1266423.5659245702,275.9915858533202,9.63,8.76
256,2612309.6493062754,1266411.2878237427,276.6965621788271,10.22,5.7
257,2612327.579787841,1266423.0997163975,276.7218713711497,9.12,6.75
258,2612339.2827293477,1266432.4614358987,275.58927065527075,7.53,5.23
259,2612346.3563969373,1266326.024034252,277.16339043118796,7.81,4.35
260,2612343.200617005,1266338.048154526,277.72939410783835,8.35,4.41
261,2612356.010866124,1266338.6129127415,277.4617750213854,8.9,6.59
262,2612370.347101521,1266347.1105403902,277.5890283842799,8.97,4.44
263,2612360.101186495,1266354.6443830926,277.1600820448103,8.78,5.3
264,2612375.535257737,1266369.7706791877,276.35992722862323,7.87,4.51
265,2612388.789993127,1266374.1796358253,276.19572606504704,8.88,6.5
266,2612378.1562397233,1266382.7823696262,276.3678453796886,8.5,4.72
267,2612404.3625134244,1266370.4843770217,274.72764232008666,6.56,4.91
268,2612428.2773744855,1266334.4985555792,275.89924745062086,9.35,8.36
269,2612427.842531801,1266350.6236235783,275.3613094440724,7.29,6.47
270,2612458.5813004784,1266351.0800197923,274.54743546086297,7.9,14.42
271,2612433.2079861104,1266383.4646006941,275.4374305555557,5.02,3.58
272,2612463.2469359343,1266359.5746239538,275.37844011142096,2.81,3.61
273,2612445.714483878,1266374.7778172072,273.9735161290317,5.69,4.11
274,2612465.065025845,1266382.5590392477,274.4403667355366,7.5,4.96
275,2612369.5431539826,1266394.80408781,275.1027767470634,7.2,4.94
276,2612384.6413219245,1266390.721563461,276.4549319279753,9.23,5.31
277,2612395.5203125034,1266413.2517788478,274.9019230769229,3.31,3.58
278,2612402.0259466385,1266408.6429351966,275.3204320203298,4.86,4.08
279,2612353.5416872813,1266447.24831271,274.44048368953867,5.59,4.12
280,2612365.7055514655,1266436.648327205,274.32965073529414,5.31,3.87
281,2612359.0705140866,1266442.3110779424,275.5507131011606,5.01,3.92
282,2612379.4694152935,1266426.4052568306,274.2942786885245,6.11,5.92
283,2612389.5164124337,1266417.8258192085,274.9405084745763,5.96,3.78
284,2612413.418775892,1266399.4120715626,275.4941242937854,4.94,3.84
285,2612427.9886974846,1266389.3452100847,275.1942296918761,4.5,4.02
286,2612420.970095535,1266393.7232006362,274.70957006369474,6.03,3.84
287,2612408.8053205893,1266404.0756070954,276.15045020463845,5.71,3.92
288,2612426.27447643,1266414.177139372,275.3345594337314,9.28,6.07
289,2612433.33735724,1266404.9699468797,272.22576361221763,4.3,4.09
290,2612453.0186521485,1266416.671560392,272.8658579574914,6.75,5.52
291,2612467.4688954274,1266411.6740980458,274.30449673202617,8.04,4.53
292,2612415.696098998,1266422.8449038204,273.96092844319134,9.04,7.35
293,2612438.0945401406,1266430.2180696137,273.91748532289654,9.16,8.43
294,2612413.851725379,1266446.3446225773,272.1141337167504,4.99,4.71
295,2612423.559623729,1266440.8169009648,273.23763933262336,7.33,5.34
296,2612140.85086887,1266480.397308012,276.6609598976134,10.37,7.27
297,2612149.9455294786,1266464.4204334223,277.23126452189496,9.48,6.45
298,2612175.0504127676,1266449.6232476663,276.90238317757064,7.12,4.23
299,2612183.6841890756,1266455.2400000026,276.8673268133661,6.69,4.58
300,2612190.9367332733,1266460.2389487436,276.8256993918331,5.28,4.32
301,2612208.8957371647,1266456.8500856266,277.24027550260604,8.51,6.64
302,2612203.1823003017,1266467.2110999546,276.10693015474715,6.91,6.35
303,2612214.580091408,1266474.2297074932,275.8981901279704,5.73,4.42
304,2612108.3361661113,1266572.3916167615,273.7316890396799,6.96,8.38
305,2612120.0965780574,1266536.3687283178,276.419988925804,10.81,6.71
306,2612133.778068571,1266513.8802006717,277.73029264214057,10.75,5.58
307,2612145.835586308,1266550.0805840313,276.63054632064694,11.7,11.06
308,2612108.008780246,1266545.7118598777,275.07320564516033,7.71,4.82
309,2612164.1500695115,1266564.208101607,275.36023529411733,8.68,4.65
310,2612214.201924713,1266567.7093531287,275.0376193001066,7.23,8.88
311,2612117.282011661,1266589.350925241,276.02456425233765,10.16,8.36
312,2612129.6351284957,1266600.7838236587,274.25794195835334,8.34,6.38
313,2612127.952716219,1266618.8887162167,275.8007162162165,12.8,4.19
314,2612149.205917989,1266635.07124847,274.25069155446727,6.77,5.95
315,2612180.6899024067,1266580.80277057,276.21625054624536,9.97,7.61
316,2612185.9800075507,1266597.2862009034,274.97237915407817,7.28,4.31
317,2612190.9579858277,1266591.1349089118,274.77213562753053,6.62,4.03
318,2612164.3428714504,1266619.5589482463,274.3781803005007,5.73,3.76
319,2612170.2058333247,1266614.1028333285,274.7490289855061,7.11,4.16
320,2612158.997625138,1266624.829605964,274.32665601703934,5.87,4.28
321,2612201.413125869,1266619.8419847826,273.2194744121718,5.78,4.48
322,2612178.3980989023,1266605.5219120875,275.8425274725278,7.02,4.09
323,2612197.990192743,1266584.2990022663,275.6917573696151,5.58,3.94
324,2612121.0582138435,1266664.433906063,275.2472620519155,9.2,6.4
325,2612132.846074847,1266652.0845921275,273.70734165067245,7.18,6.13
326,2612141.526260781,1266643.0572844842,274.077877155172,6.5,4.07
327,2612156.204232788,1266662.3296074138,274.2730246060274,7.84,6.31
328,2612205.0032564327,1266641.2501019242,274.2799248927042,7.45,4.62
329,2612201.9594042576,1266674.1887200798,275.4212044745056,10.38,5.75
330,2612223.296677082,1266466.4196180557,277.29404166666706,7.96,6.47
331,2612232.6962400074,1266461.1999599992,277.2732499999998,5.43,4.28
332,2612222.1594928857,1266478.4067437681,275.08544483985725,5.16,4.35
333,2612249.4447330353,1266455.0476623382,276.4067099567099,4.05,4.21
334,2612252.416716738,1266462.389141632,275.5953433476396,4.57,3.55
335,2612260.856423038,1266485.193681382,274.8686097852028,7.2,7.41
336,2612254.0525263106,1266470.2603609015,275.5130375939857,4.7,3.98
337,2612229.0584422066,1266484.6243969821,275.7441331658294,5.25,4.13
338,2612237.161340316,1266490.1275078515,275.646335078534,5.18,4.25
339,2612245.455711497,1266494.5036842108,276.36352826510716,4.25,3.71
340,2612253.5348440236,1266499.7233448904,275.29747833622184,7.25,4.22
341,2612261.45427587,1266505.524436783,275.36910344827606,4.82,4.2
342,2612277.242701262,1266498.0875929769,274.6955905190022,6.39,6.93
343,2612289.8840683782,1266455.8344602345,275.7142374183633,8.54,5.13
344,2612334.724956532,1266460.5511594198,274.3682463768113,5.42,3.76
345,2612340.7422419954,1266455.6572597874,274.51549822064027,5.52,3.57
346,2612316.4370178543,1266474.7904821427,273.7908214285717,4.23,4.4
347,2612322.296738552,1266470.8014016151,274.6678840970349,5.5,3.95
348,2612290.2342391256,1266494.5374275364,274.39003623188415,3.97,3.57
349,2612303.5800323216,1266485.0046655885,274.8798061389345,7.24,7.44
350,2612316.0134667014,1266497.155757454,275.08759493670897,8.15,5.28
351,2612329.2745838473,1266481.9985434571,274.6621236230115,7.93,4.68
352,2612329.02746356,1266501.9910566127,274.48989349775684,7.92,5.88
353,2612237.006847896,1266544.7978979337,275.4433915603545,8.09,9.03
354,2612257.8602372264,1266522.8345346716,275.2252645985402,5.16,4.32
355,2612264.185674896,1266517.1212046437,275.2413642960814,4.23,4.29
356,2612252.3428571485,1266528.9937006815,275.7448979591838,4.95,4.02
357,2612245.7524757828,1266559.7561527134,275.3727254038205,9.23,7.4
358,2612340.1887012054,1266514.5074621523,275.0816772908372,8.67,4.82
359,2612347.084734575,1266450.788077474,274.8339741750356,5.57,3.82
360,2612373.8647041814,1266479.2923304464,274.0434415584418,6.99,4.31
361,2612365.900216678,1266495.0278047775,274.66720070037405,8.76,6.24
362,2612344.07517114,1266503.1333618565,274.0245721271394,6.91,4.59
363,2612354.759771682,1266507.6888910723,273.8304240052186,7.14,4.27
364,2612381.532808822,1266506.5590093785,274.91101100693015,8.74,5.11
365,2612429.8463291456,1266457.5368588734,273.59468921032055,7.8,6.93
366,2612450.4883159525,1266459.7902450515,273.6831699687175,7.46,5.22
367,2612447.964777362,1266479.4131775615,273.800095253605,9.55,9.34
368,2612476.0020399885,1266503.2176283768,273.87420977828157,9.05,9.13
369,2612464.3975475864,1266509.4255935107,272.90570548712213,6.68,4.84
370,2612355.3705633855,1266520.8392524375,274.28297399783276,7.61,4.73
371,2612368.9125984935,1266515.4047321824,274.69529880478063,8.07,4.94
372,2612350.2239325223,1266531.0136774953,275.41978609625613,9.02,4.91
373,2612372.0984723214,1266538.547904275,276.2218709209577,6.58,7.78
374,2612391.4722777978,1266523.4734298561,275.2101331681696,10.07,7.12
375,2612379.1741160587,1266549.4551821866,275.94591093117396,5.82,4.11
376,2612384.2556173475,1266543.7225695187,275.54187986651834,7.1,4.07
377,2612405.1898506647,1266544.6145777474,273.7295211122555,7.38,4.82
378,2612408.2643679883,1266570.6820992017,275.88778239999994,6.35,7.21
379,2612433.7690950474,1266558.94393389,274.4171942148753,7.81,5.61
380,2612407.1490747943,1266562.7993110197,276.81909448818925,6.95,4.74
381,2612230.640977247,1266580.4447203465,274.71785494775594,7.76,4.29
382,2612221.4955121516,1266625.0453447187,275.3822882468813,9.14,5.42
383,2612303.9125080192,1266581.0422297532,275.2624545130225,8.93,5.23
384,2612300.387683887,1266598.318931372,277.15705790297335,12.27,6.23
385,2612318.765797184,1266624.948441031,278.1391415094331,13.48,5.57
386,2612340.101210592,1266632.4980928726,275.41012271973466,10.15,5.23
387,2612256.3133942788,1266655.2791257063,273.8297600000001,6.7,4.82
388,2612243.4522959804,1266679.5552323346,274.5131862553691,8.5,4.93
389,2612229.3536754046,1266688.6547493984,274.21681980906965,7.93,4.57
390,2612280.6720813154,1266651.3668628691,274.5232402912618,7.67,4.37
391,2612343.377927031,1266611.437407413,274.7230182421236,7.78,4.86
392,2612432.076281468,1266592.5611480363,276.7196223564955,11.5,5.56
