Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
3391,2613293.354285714,1266424.587857143,261.86,10.0,6.666667,2.99,3.3333335,0.49833333333333335,42.0,49.0,46.0,139.0,69.0,19.0
3392,2613074.0251351357,1266962.9010810812,-inf,inf,inf,4.85,inf,0.8083333333333332,42.0,49.0,46.0,139.0,69.0,19.0
3393,2613082.0002362207,1266907.636929134,-inf,inf,inf,6.36,inf,1.06,42.0,49.0,46.0,139.0,69.0,19.0
3394,2612703.9963829787,1266997.5274468083,254.01000091552737,18.21,12.139999,3.87,6.0699997,0.645,42.0,49.0,46.0,139.0,69.0,19.0
3395,2613117.5760465115,1266907.53124031,-inf,inf,inf,6.41,inf,1.0683333333333334,42.0,49.0,46.0,139.0,69.0,19.0
3396,2613271.813076923,1266305.3007692308,262.2800002670288,13.53,9.02,2.88,4.51,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3397,2613158.322432433,1266821.380810811,265.7100001335144,6.39,4.26,3.43,2.13,0.5716666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3398,2613479.97,1266185.0,260.73000011444094,11.62,7.746667,3.99,3.8733335,0.665,42.0,49.0,46.0,139.0,69.0,19.0
3399,2613201.245769231,1266872.8584615386,266.03000001192095,0.7,0.46666667,4.07,0.23333333,0.6783333333333333,42.0,49.0,46.0,139.0,69.0,19.0
3400,2613008.874848485,1266903.4336363636,265.9699999833107,0.67,0.4466667,3.24,0.22333334,0.54,42.0,49.0,46.0,139.0,69.0,19.0
3401,2613109.02125,1266930.595,-inf,inf,inf,5.05,inf,0.8416666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3402,2613106.311348315,1266914.0025842695,-inf,inf,inf,5.32,inf,0.8866666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3403,2612978.4733333336,1266993.52,-inf,inf,inf,5.35,inf,0.8916666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3404,2613201.6762068965,1266896.073448276,-inf,inf,inf,6.79,inf,1.1316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3405,2613120.520952381,1266915.1295238095,-inf,inf,inf,5.17,inf,0.8616666666666666,42.0,49.0,46.0,139.0,69.0,19.0
3406,2612973.001940299,1266941.5923880597,-inf,inf,inf,4.62,inf,0.77,42.0,49.0,46.0,139.0,69.0,19.0
3407,2612219.7746153846,1266433.5507692308,270.8399998855591,11.88,7.92,2.88,3.96,0.48,42.0,49.0,46.0,139.0,69.0,19.0
3408,2613480.5500000003,1266396.62,262.9900000953674,4.1,2.7333333,3.99,1.3666667,0.665,42.0,49.0,46.0,139.0,69.0,19.0
3409,2612572.4573076926,1267000.743076923,252.92999977111816,13.51,9.006667,4.07,4.5033336,0.6783333333333333,42.0,49.0,46.0,139.0,69.0,19.0
