Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612750.1596875,1266073.195625,291.7,4.51
2,2612753.48,1266073.43,291.7,1.95
3,2612772.296666667,1266007.0883333334,289.15,4.37
4,2612264.1675,1266150.695625,288.23,3.19
5,2612189.591111111,1266117.8744444444,287.64,3.39
6,2612261.105,1266152.3526190475,287.85,5.17
7,2612228.136779661,1266080.557118644,286.61,4.33
8,2612261.850481928,1266145.2974698795,286.44,5.14
9,2612696.4383333335,1266013.2573809524,286.43,5.17
10,2612245.03,1266092.9744444443,285.93,3.78
11,2612247.626226415,1266074.7979245281,285.85,4.11
12,2612220.37,1266082.8099999998,285.41,2.82
13,2612236.5413207547,1266173.467735849,285.41,4.11
14,2612794.1711764704,1266027.0182352941,285.32,2.33
15,2612201.32375,1266116.33625,285.31,2.26
16,2612219.5966666667,1266087.73,285.27,2.19
17,2612113.827826087,1266163.4626086955,285.23,3.83
18,2612235.968095238,1266110.4776190475,285.16,2.59
19,2612209.415185185,1266158.365185185,285.07,4.15
20,2612106.473243243,1266129.1056756757,285.05,3.43
21,2613264.33,1266089.03,285.0,1.78
22,2612688.3162068967,1266021.2575862068,284.93,3.04
23,2612247.1823809524,1266089.287142857,284.79,2.59
24,2612739.753809524,1266003.2395238094,284.7,3.66
25,2612111.9864102565,1266260.506923077,284.66,3.52
26,2612252.8633333333,1266137.655,284.62,4.37
27,2612759.112352941,1266004.6652941175,284.59,2.33
28,2613175.4267741935,1266890.1558064516,284.59,7.02
29,2612202.855,1266143.9091666667,284.58,2.76
30,2612667.2734782607,1266020.734347826,284.52,2.71
31,2613258.8889595377,1266817.7161271675,284.52,7.42
32,2612115.757777778,1266197.5188888889,284.48,5.35
33,2612258.3386956523,1266085.7778260869,284.44,2.71
34,2612204.0376923075,1266140.2376923077,284.41,2.03
35,2612229.3966666665,1266163.4538095237,284.38,2.59
36,2612219.5829411764,1266076.5476470587,284.36,2.33
37,2612727.23,1266028.6118181818,284.35,2.65
38,2612638.11,1266008.43,284.27,2.82
39,2613246.3750617285,1266729.139876543,284.18,7.18
40,2612239.2855555555,1266168.9855555554,284.15,2.39
41,2612242.9211764704,1266161.7535294117,284.15,3.29
42,2612278.452222222,1266222.1337037035,284.15,2.93
43,2612640.38,1266005.055,284.15,2.52
44,2612789.505362319,1266005.698115942,284.12,4.69
45,2612794.2876923075,1266064.853076923,284.12,2.88
46,2612245.866363636,1266158.3845454545,284.09,1.87
47,2612134.5633333335,1266335.8077777778,284.07,3.78
48,2612190.444285714,1266132.4776190475,284.06,2.59
49,2612158.98,1266318.43,284.04,1.95
50,2612107.163333333,1266241.6633333333,284.03,2.19
51,2612110.099047619,1266185.1442857143,283.99,3.66
52,2612279.460769231,1266234.1223076922,283.97,2.03
53,2612260.5818518517,1266088.5225925925,283.96,2.93
54,2612126.3014285713,1266199.6919047618,283.95,2.59
55,2612302.4713793104,1266187.2231034483,283.88,3.04
56,2612776.1744444445,1266032.93,283.87,2.39
57,2612706.3133333335,1266038.7355555554,283.81,2.39
58,2612722.0514285713,1266042.1085714286,283.71,2.11
