Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612749.7446902655,1266072.2304424779,291.7,6.0
2,2612753.522527472,1266071.9151648353,291.7,5.38
3,2612151.6157894735,1266080.7685964913,289.57,6.02
4,2612773.078205128,1266006.7389743591,289.41,7.88
5,2612262.0603806227,1266149.1215224913,288.54,9.59
6,2612189.6296460177,1266116.9251327435,287.65,6.0
7,2612176.6717391303,1266111.7626086958,287.61,6.05
8,2612227.5155172413,1266079.259310345,286.91,6.79
9,2612166.337610619,1266094.5490265489,286.73,6.0
10,2612218.52368421,1266084.9010526317,286.71,7.78
11,2612123.522527472,1266078.18989011,286.63,5.38
12,2612696.3554393305,1266012.6553138075,286.43,8.72
13,2612244.81993865,1266090.9480981596,286.42,7.2
14,2612791.406521739,1266025.7147826087,286.32,6.05
15,2612228.0075757573,1266160.8496969698,286.22,7.25
16,2612307.721875,1266102.876875,286.08,3.19
17,2612752.99375,1266016.9175,286.05,7.14
18,2612195.273300971,1266091.007184466,286.01,5.73
19,2612203.959574468,1266115.08,285.99,5.47
20,2612183.0083333333,1266104.8670370372,285.98,5.86
21,2612247.2309523807,1266073.7561904762,285.9,5.78
22,2612237.1144171776,1266171.4757055216,285.7,7.2
23,2612238.1620689654,1266109.7136206897,285.69,6.08
24,2612178.1841463414,1266101.6775609758,285.46,5.11
25,2612194.8287610617,1266107.0224778762,285.39,6.0
26,2612115.2980620153,1266162.9249612405,285.38,6.41
27,2612687.621005917,1266024.461656805,285.31,7.33
28,2612667.305952381,1266019.6335714287,285.24,5.17
29,2612202.532300885,1266141.7879646018,285.15,6.0
30,2612206.51875,1266193.7175,285.15,5.05
31,2612227.3101626015,1266177.6369105692,285.1,6.26
32,2612756.5135416663,1266004.2779166668,285.09,5.53
33,2612209.005128205,1266157.9005128206,285.07,4.98
34,2612107.983333333,1266128.9371428571,285.05,5.78
35,2613264.1653846153,1266088.9646153846,285.0,2.03
36,2613175.4230964463,1266890.1459898478,284.96,7.92
37,2612317.2112903222,1266095.9348387097,284.93,3.14
38,2612215.1125,1266204.9371428571,284.92,4.22
