;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;104011.0;104011.0;104011.0;104011.0;104011.0;104011.0;104011.0;104011.0;104011.0;104011.0;104011.0;104011.0
mean;2613356.262637626;1266871.7831374616;252.97099762672215;89.9292767111171;87.50713866802549;94.81386584111296;-0.0037097534972262564;0.00930818469200373;0.9772817561604059;234.47514137415854;9.542223840108106;37.60795285415702
std;73.90491563902464;88.35778031650136;2.1599086613118166;13.868961707053556;12.891078329057857;14.834548359914095;0.13749905729572012;0.12324977639381872;0.10355623521288729;74.48704863268694;3.7678563803588188;5.358138248233284
min;2613213.340054;1266687.160043;250.16;16.0;17.0;14.0;-0.99999;-0.996743;-0.796272;0.0;0.0;6.666666666666667
25%;2613297.370085;1266808.609996;251.189999;81.0;79.0;87.0;-0.043155;-0.0412285;0.990065;240.0;7.0707070707070745;34.509803921568626
50%;2613352.99008;1266865.58002;252.95;92.0;90.0;98.0;0.004359;0.006723;0.996357;253.33333333333337;9.259259259259252;38.43137254901961
75%;2613412.1300335;1266952.470035;254.09;99.0;96.0;105.0;0.051916;0.061408;0.998771;265.0;11.50442477876106;41.5686274509804
max;2613501.360082;1267002.780053;266.31;153.0;146.0;164.0;0.999524;0.99296;0.999992;355.3846153846154;57.89473684210527;64.31372549019608
