;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;40895.0;40895.0;40895.0;40895.0;40895.0;40895.0;40895.0;40895.0;40895.0;40895.0;40895.0;40895.0
mean;2613310.000004935;1266852.497206831;254.723669933317;88.19564738965644;100.80606431104047;112.48741899987773;0.009685581684802543;0.012231974079960876;0.9937016259444921;207.99606209104576;21.8598720430344;44.122120495098635
std;72.94195600144218;92.13050938269106;0.7663267410928707;13.8965548760996;13.755466726774335;13.60609674962286;0.08114427139303919;0.07455246523591719;0.013095408709123532;9.312172368228318;5.191575670598486;5.317211205969848
min;2613212.120084;1266697.200023;253.2;35.0;44.0;48.0;-0.471446;-0.424181;0.605282;14.999999999999948;1.0101010101010066;19.215686274509807
25%;2613245.639984;1266775.640025;254.279999;78.0;91.0;104.0;-0.0352525;-0.033464;0.993225;206.66666666666663;18.6046511627907;40.78431372549019
50%;2613297.130094;1266863.049991;254.609999;86.0;98.0;110.0;0.004397;0.006291;0.997059;208.8;21.551724137931032;43.13725490196079
75%;2613351.300016;1266932.0250269999;254.88;100.0;112.5;123.0;0.051857;0.053565;0.9989135;211.0344827586207;25.446570972886768;48.23529411764706
max;2613477.590055;1267001.540063;257.23;121.0;133.0;147.0;0.723179;0.527053;0.999992;284.99999999999983;41.0;57.647058823529406
