;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;972121.0;972121.0;972121.0;972121.0;972121.0;972121.0;972121.0;972121.0;972121.0;972121.0;972121.0;972121.0
mean;2613360.0448804623;1266840.0702951944;256.41624448822427;63.60420667797527;71.41335903658084;68.11566358508868;0.015303471326100347;0.013004976622251764;0.9265327083079166;147.51204867962588;13.01943477438857;28.187015208770017
std;84.66926220590176;88.85675623692974;6.083574291578567;14.1394299954501;15.521097891819771;16.80575353112487;0.26757617497709235;0.21578277684789388;0.15157421333009471;37.014418915575504;4.374225603916871;6.225694318815358
min;2613201.940027;1266687.480053;247.980001;8.0;8.0;8.0;-0.999949;-0.999959;-0.979173;0.0;0.0;3.5294117647058822
25%;2613285.160002;1266763.620006;251.63;55.0;62.0;57.0;-0.090425;-0.073059;0.924352;127.50000000000009;10.0;24.31372549019608
50%;2613373.050008;1266831.260018;253.439999;66.0;75.0;71.0;0.012207;0.006145;0.98281;154.99999999999994;12.499999999999991;29.411764705882355
75%;2613427.759977;1266917.410037;265.75;73.0;83.0;79.0;0.138303;0.095868;0.995474;174.00000000000003;15.384615384615383;32.549019607843135
max;2613501.670018;1267002.119988;270.510001;160.0;155.0;178.0;0.99999;0.99998;0.999992;357.0;61.03896103896104;69.80392156862744
