;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;155794.0;155794.0;155794.0;155794.0;155794.0;155794.0;155794.0;155794.0;155794.0;155794.0;155794.0;155794.0
mean;2613382.4700707244;1266879.1991419191;254.05866515528191;120.59885489813472;114.00733661116602;115.19153497567301;-0.001520568436525155;-0.006630869487913527;0.9731132631230984;185.81457925612136;7.652182601823595;47.627915897992004
std;61.57546438491121;79.58048000626661;3.3843721314992483;22.497679962392603;21.393128759616896;21.088033208990367;0.17447596679269456;0.08617283265798494;0.12303255914551804;145.16984465326175;5.012320107645543;8.560777884648482
min;2613213.649994;1266686.460033;249.93;9.0;9.0;8.0;-0.999993;-0.989425;-0.704656;0.0;0.0;3.5294117647058822
25%;2613357.100065;1266831.23005;250.96;104.0;98.0;102.0;-0.043156;-0.041363;0.992783;17.14285714285715;4.950495049504947;41.17647058823529
50%;2613378.330037;1266876.869998;252.8;124.0;117.0;117.0;0.004323;-0.009522;0.997403;266.6666666666667;6.249999999999997;49.01960784313725
75%;2613445.47006;1266947.440005;257.95;140.0;133.0;134.0;0.043966;0.030224749999999998;0.999068;317.1428571428571;8.053691275167795;54.90196078431373
max;2613501.310033;1267001.810021;266.22;157.0;152.0;155.0;0.999968;0.999006;0.999992;355.7142857142857;50.0;61.5686274509804
