;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;12371.0;12371.0;12371.0;12371.0;12371.0;12371.0;12371.0;12371.0;12371.0;12371.0;12371.0;12371.0
mean;2613401.6003179103;1266860.2670069002;255.49370419901385;74.94770026675289;70.66712472718454;76.9184382830814;0.012212542801713683;-0.0027987186969525486;0.8992241472799288;220.1253939005518;10.88554217389163;30.979060769890367
std;49.686942864142054;60.66380989623302;2.396611340661501;11.922300192554012;12.814992292454278;16.358253510090073;0.26211629007430104;0.2771290610637545;0.21389002318915035;109.55759359520603;3.4076492717710365;5.570889747980911
min;2613257.110074;1266706.109988;250.67;30.0;28.0;24.0;-0.999735;-0.999998;-0.665917;0.0;1.2820512820512957;11.76470588235294
25%;2613414.0349935;1266782.040048;254.980001;65.0;59.0;62.5;-0.066676;-0.088834;0.9418880000000001;246.0;8.474576271186447;25.882352941176475
50%;2613418.289998;1266882.850045;255.319999;76.0;73.0;80.0;0.020286;-0.017492;0.98766;260.0;10.769230769230765;31.76470588235294
75%;2613422.47006;1266898.9850215;255.52;82.0;78.0;88.0;0.1149395;0.070015;0.996538;274.2857142857143;13.207547169811326;34.90196078431372
max;2613482.700048;1266962.879998;270.54;126.0;124.0;130.0;0.982586;0.994011;0.999992;356.4705882352941;30.645161290322577;50.98039215686274
