;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;233747.0;233747.0;233747.0;233747.0;233747.0;233747.0;233747.0;233747.0;233747.0;233747.0;233747.0;233747.0
mean;2613386.3081679456;1266890.1650190742;265.88788771822954;76.60597996979641;57.58856798162115;57.010288902103554;-0.02666510770619516;-0.01747914143497029;0.720699354947871;121.04622944764385;27.347977766337586;30.065912558215064
std;88.66977977535443;82.11354604839862;4.883628408487928;10.17622721629414;9.299168629278727;11.160855297368052;0.4893629786860319;0.41732987767854474;0.25678316009691243;160.3176583737877;6.71868701033756;4.036323972072773
min;2613206.090054;1266700.169988;251.33;14.0;16.0;10.0;-0.999993;-0.999998;-0.931845;0.0;0.0;6.2745098039215685
25%;2613303.6450475;1266865.410043;262.43;71.0;52.0;50.0;-0.44028049999999996;-0.315145;0.6249210000000001;4.615384615384632;23.214285714285708;27.84313725490196
50%;2613428.170018;1266914.810006;266.35;77.0;57.0;56.0;-0.037218;-0.017542;0.792163;9.999999999999998;26.984126984126988;30.19607843137255
75%;2613469.480077;1266949.73005;268.73;83.0;62.0;62.0;0.4085555;0.285358;0.9020775000000001;342.85714285714283;32.0;32.549019607843135
max;2613501.980077;1267001.119988;279.12;144.0;135.0;148.0;0.999971;0.999998;0.999992;357.9310344827586;75.0;58.03921568627452
