;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;893729.0;893729.0;893729.0;893729.0;893729.0;893729.0;893729.0;893729.0;893729.0;893729.0;893729.0;893729.0
mean;2613282.4082580456;1266808.3095606577;269.0069960877515;43.026958955119504;48.85771302038985;46.26958843228764;0.09109820229174617;0.03989967123591154;0.3315486711978688;141.80412303585382;15.47742586618351;19.36517976377408
std;56.347866884695634;83.86492516496247;6.126637974186227;17.33189511044823;17.884165985425046;18.817517171888387;0.5784283216619394;0.5597264564447034;0.48198813936477397;40.20599066288616;6.553780357384397;7.272329912571962
min;2613200.540004;1266687.900033;250.67;3.0;3.0;2.0;-0.999993;-0.999998;-0.997744;0.0;0.0;1.1764705882352942
25%;2613237.050014;1266735.710027;265.160001;31.0;37.0;33.0;-0.417412;-0.450912;-0.049935;105.00000000000004;10.81081081081081;14.50980392156863
50%;2613272.600065;1266793.489999;270.31;42.0;49.0;46.0;0.128597;0.051169;0.439673;149.99999999999997;14.285714285714294;19.215686274509807
75%;2613315.840055;1266867.280038;273.980001;54.0;60.0;58.0;0.61237;0.534619;0.742513;173.33333333333337;18.867924528301884;23.92156862745098
max;2613496.670018;1267001.689996;284.76;166.0;162.0;163.0;0.999993;0.999998;0.999992;353.33333333333337;68.18181818181819;65.09803921568627
