X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613500.92;1266857.36;266.91;52;35;25;-0.11;-0.51;0.85;50;18
2613498.46;1266857.87;266.32;102;90;89;-0.44;-0.9;-0.04;50;18
2613498.89;1266857.75;266.25;100;88;86;-0.36;-0.93;-0.06;50;18
2613500.56;1266857.52;267.35;72;52;46;-0.85;0.49;0.17;50;18
2613499.88;1266857.54;266.79;83;63;61;-0.06;-0.56;0.82;50;18
2613500.86;1266856.89;266.33;84;60;53;-0.71;-0.55;0.43;50;18
2613501.11;1266857.12;266.65;65;44;32;0.12;-0.61;0.78;50;18
2613500.62;1266857.52;267.28;72;52;46;-0.89;0.39;0.23;50;18
2613497.66;1266858.29;266.53;83;66;64;-0.4;-0.86;0.31;50;18
2613499.45;1266857.79;266.87;87;62;59;0.0;-0.29;0.96;50;18
2613498.4;1266857.93;266.32;104;91;90;-0.46;-0.89;-0.06;50;18
2613497.97;1266858.11;266.52;87;73;70;-0.49;-0.82;0.29;50;18
2613496.68;1266858.52;266.97;85;63;60;-0.45;-0.89;-0.07;50;18
2613498.64;1266857.98;266.63;82;64;63;-0.27;-0.66;0.7;50;18
2613498.15;1266858.05;266.45;86;71;68;-0.51;-0.85;0.14;50;18
2613499.08;1266857.73;266.81;84;61;57;-0.18;-0.35;0.92;50;18
2613500.92;1266857.41;266.97;54;36;26;-0.18;-0.53;0.83;50;18
2613499.14;1266857.56;266.49;91;77;77;-0.34;-0.94;0.0;50;18
2613498.64;1266857.81;266.26;103;91;89;-0.36;-0.93;0.02;50;18
2613498.64;1266858.4;266.84;87;60;55;-0.39;-0.35;0.86;50;18
2613498.15;1266858.47;266.78;81;60;57;-0.23;-0.49;0.84;50;18
2613500.37;1266857.54;266.98;77;57;52;-0.47;-0.27;0.84;50;18
2613498.71;1266858.52;266.96;87;61;54;-0.69;-0.37;0.62;50;18
2613499.69;1266857.79;266.81;86;61;57;0.04;-0.4;0.91;50;18
2613501.11;1266857.36;266.84;59;37;24;0.22;-0.57;0.79;50;18
2613497.97;1266858.12;266.27;98;85;83;-0.47;-0.87;0.13;50;18
2613501.05;1266858.43;267.81;68;45;31;-0.51;-0.74;0.45;50;18
2613497.29;1266858.53;266.72;79;60;57;-0.33;-0.86;0.39;50;18
2613498.89;1266858.04;266.76;84;60;57;-0.25;-0.36;0.9;50;18
