X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613310.22;1266901.73;262.44;79;59;56;-0.83;-0.48;0.29;37;14
2613311.27;1266899.76;262.35;87;68;62;-0.87;-0.49;0.05;37;14
2613312.01;1266900.35;262.87;76;54;46;-0.28;-0.08;0.96;37;14
2613313.0;1266899.31;262.94;81;62;58;-0.14;0.03;0.99;37;14
2613311.27;1266904.69;263.85;96;73;72;-0.36;-0.36;0.86;37;14
2613311.27;1266899.72;261.92;111;99;96;-0.87;-0.49;-0.04;37;14
2613311.76;1266902.98;263.41;77;51;46;-0.51;-0.34;0.79;37;14
2613313.8;1266901.01;263.44;82;58;52;-0.22;-0.19;0.96;37;14
2613314.91;1266897.51;263.29;79;54;50;-0.43;-0.05;0.9;37;14
2613315.59;1266895.24;263.07;77;55;50;0.11;-0.19;0.98;70;14
2613313.8;1266896.66;262.83;78;59;57;-0.53;-0.04;0.85;37;14
2613310.78;1266904.7;263.55;81;57;55;-0.42;-0.58;0.7;37;14
2613310.04;1266902.39;262.65;77;56;55;-0.47;-0.26;0.84;37;14
2613312.07;1266898.52;262.54;75;56;50;-0.72;-0.39;0.57;37;14
2613313.12;1266896.6;262.71;76;55;51;-0.71;-0.45;0.54;37;14
2613314.48;1266899.18;262.99;79;56;52;0.0;-0.15;0.99;37;14
2613315.46;1266899.54;263.25;80;56;51;-0.24;-0.68;0.69;37;14
2613314.17;1266900.52;263.48;78;58;58;-0.17;-0.02;0.99;37;14
2613313.92;1266899.71;263.69;82;59;53;-0.61;0.01;0.8;37;14
2613313.12;1266905.37;263.87;82;57;52;-0.07;-0.43;0.9;37;14
2613314.85;1266894.94;262.75;83;57;49;-0.15;-0.13;0.98;70;14
2613313.18;1266903.58;263.92;80;54;49;-0.15;-0.13;0.98;37;14
2613309.05;1266903.71;262.16;103;88;86;-0.86;-0.51;0.02;37;14
2613310.1;1266901.74;262.13;99;85;81;-0.85;-0.52;0.01;37;14
2613313.0;1266899.55;262.95;83;57;51;-0.21;0.01;0.98;37;14
2613310.9;1266900.32;262.13;102;85;81;-0.88;-0.47;-0.01;37;14
2613314.73;1266893.73;262.27;97;82;81;-0.87;-0.49;0.06;70;14
2613310.78;1266900.69;262.21;92;77;71;-0.88;-0.47;-0.02;37;14
2613313.74;1266897.82;263.19;81;56;49;-0.17;0.14;0.98;37;14
2613312.94;1266896.87;262.23;98;84;81;-0.86;-0.51;-0.01;37;14
2613313.0;1266897.58;262.93;79;58;52;-0.47;-0.24;0.85;37;14
2613312.63;1266901.98;263.79;72;51;50;-0.64;-0.72;0.28;37;14
2613309.05;1266904.48;262.74;81;62;57;-0.4;-0.28;0.87;37;14
2613309.98;1266903.5;262.82;85;65;61;-0.27;-0.23;0.93;37;14
2613313.62;1266899.22;263.43;81;57;50;-0.07;-0.52;0.85;37;14
2613310.28;1266903.31;262.87;84;64;62;-0.24;-0.21;0.95;37;14
2613314.05;1266898.8;263.35;85;61;54;-0.69;-0.59;0.42;37;14
2613312.01;1266898.48;261.99;111;99;96;-0.88;-0.47;-0.02;37;14
2613314.35;1266897.46;262.98;78;55;53;-0.08;-0.04;1.0;37;14
2613314.29;1266896.35;263.0;74;54;49;-0.4;-0.03;0.92;37;14
2613310.28;1266902.2;262.83;89;72;72;-0.23;-0.05;0.97;37;14
2613313.0;1266896.81;262.28;95;81;77;-0.87;-0.5;-0.01;37;14
2613309.3;1266905.68;263.53;74;54;51;-0.43;-0.09;0.9;27;14
2613314.04;1266899.91;263.21;79;58;55;-0.23;-0.34;0.91;37;14
2613310.84;1266900.5;262.2;95;81;75;-0.88;-0.48;-0.02;37;14
2613311.58;1266901.95;263.06;82;57;50;-0.32;-0.05;0.95;37;14
2613311.64;1266899.09;262.2;95;81;76;-0.88;-0.47;0.04;37;14
2613315.21;1266898.32;262.95;75;54;49;-0.46;0.01;0.89;37;14
2613314.6;1266896.58;263.25;86;65;63;-0.67;-0.2;0.72;37;14
2613309.48;1266902.96;262.37;80;62;58;-0.75;-0.59;0.3;37;14
2613312.01;1266902.78;263.83;82;57;56;-0.91;0.03;0.41;37;14
2613313.68;1266899.1;263.36;82;60;55;-0.5;-0.48;0.72;37;14
2613314.79;1266898.11;263.5;83;61;53;-0.39;-0.25;0.89;37;14
2613314.05;1266894.9;262.26;96;83;80;-0.88;-0.47;0.04;70;14
2613314.47;1266899.12;262.93;79;57;52;0.08;-0.2;0.98;37;14
2613308.86;1266903.97;261.86;117;103;100;-0.87;-0.5;-0.03;37;14
2613314.36;1266895.2;262.52;75;54;49;-0.18;-0.21;0.96;70;14
2613312.07;1266899.07;262.69;82;64;60;-0.37;0.02;0.93;37;14
2613310.78;1266900.92;262.46;83;65;58;-0.64;-0.38;0.67;37;14
2613312.07;1266899.55;262.9;76;52;46;-0.36;0.02;0.93;37;14
2613313.12;1266896.57;261.97;113;103;102;-0.86;-0.51;-0.0;37;14
2613308.8;1266904.14;262.11;101;88;83;-0.86;-0.51;0.08;37;14
2613309.85;1266902.23;262.15;96;81;75;-0.85;-0.52;-0.1;37;14
2613310.78;1266902.2;262.89;82;60;57;-0.3;-0.08;0.95;37;14
2613312.19;1266904.15;263.52;81;57;52;-0.44;-0.47;0.77;37;14
2613314.35;1266898.25;263.14;80;56;51;-0.36;0.32;0.88;37;14
2613315.34;1266894.14;262.72;82;58;51;-0.09;-0.14;0.99;70;14
2613315.77;1266893.96;262.77;77;53;46;-0.22;-0.22;0.95;70;14
2613312.26;1266899.51;262.52;76;59;56;-0.32;-0.52;0.79;37;14
2613313.24;1266900.53;263.24;82;57;51;-0.33;-0.31;0.89;37;14
2613310.28;1266901.49;262.12;98;83;80;-0.87;-0.5;-0.04;37;14
2613313.98;1266899.97;263.21;80;56;52;-0.19;-0.35;0.92;37;14
2613313.31;1266900.28;263.23;83;57;52;-0.26;-0.29;0.92;37;14
2613309.54;1266903.68;262.71;81;58;53;-0.29;-0.23;0.93;37;14
2613312.2;1266903.03;263.65;79;52;49;-0.48;-0.23;0.84;37;14
2613309.48;1266905.68;263.59;74;54;51;-0.53;-0.18;0.83;27;14
2613314.17;1266897.82;263.18;82;55;47;-0.15;0.02;0.99;37;14
2613311.76;1266899.01;262.5;86;68;62;-0.81;-0.51;0.28;37;14
2613311.02;1266904.15;263.4;85;60;55;-0.38;-0.17;0.91;37;14
2613311.02;1266900.25;262.44;84;64;59;-0.68;-0.4;0.61;37;14
2613309.98;1266902.16;262.4;81;61;57;-0.81;-0.49;0.32;37;14
2613309.73;1266902.71;262.54;69;49;46;-0.67;-0.36;0.65;37;14
2613312.07;1266899.93;262.73;81;63;56;-0.4;-0.18;0.9;37;14
2613312.14;1266898.34;262.47;79;61;56;-0.82;-0.47;0.31;37;14
2613315.59;1266894.92;263.3;75;57;51;-0.56;0.66;0.5;70;14
2613313.18;1266896.43;262.45;84;64;61;-0.84;-0.54;0.12;37;14
2613312.75;1266902.36;263.44;83;56;51;-0.15;-0.06;0.99;37;14
2613309.85;1266902.22;262.34;86;68;64;-0.85;-0.5;0.14;37;14
2613313.12;1266903.28;263.66;82;57;50;-0.06;-0.27;0.96;37;14
2613310.04;1266902.21;262.58;74;53;49;-0.58;-0.39;0.72;37;14
2613309.3;1266904.96;263.07;77;54;51;-0.27;-0.52;0.81;37;14
2613312.81;1266901.32;263.4;81;54;48;-0.41;-0.35;0.84;37;14
2613313.74;1266896.39;263.37;84;59;54;-0.47;0.12;0.87;37;14
2613313.86;1266895.38;262.47;87;69;65;-0.86;-0.42;0.3;70;14
2613315.34;1266900.32;263.77;79;55;52;-0.34;-0.53;0.77;37;14
2613314.23;1266897.82;263.18;81;54;47;-0.08;-0.05;1.0;37;14
2613310.04;1266902.7;262.66;84;64;62;-0.29;-0.08;0.95;37;14
2613311.27;1266899.71;262.17;97;81;76;-0.87;-0.48;-0.1;37;14
2613311.39;1266904.81;263.86;84;61;59;-0.28;-0.2;0.94;37;14
2613314.47;1266902.1;263.85;76;51;46;-0.28;-0.41;0.87;37;14
2613309.54;1266903.93;262.78;83;60;54;-0.29;-0.33;0.9;37;14
2613311.58;1266901.09;262.96;85;59;51;-0.41;-0.27;0.87;37;14
2613312.32;1266899.74;262.84;75;55;49;-0.42;-0.14;0.89;37;14
2613315.4;1266897.03;262.84;75;54;49;-0.12;-0.03;0.99;37;14
2613309.3;1266903.93;262.66;82;62;56;-0.53;-0.45;0.72;37;14
2613312.5;1266899.8;262.9;78;56;50;-0.37;-0.09;0.93;37;14
2613309.48;1266902.97;262.12;98;84;79;-0.86;-0.51;-0.09;37;14
2613313.24;1266904.13;263.94;77;52;47;-0.26;-0.15;0.95;37;14
2613314.91;1266893.72;262.52;80;58;53;-0.54;-0.45;0.71;70;14
2613313.37;1266898.38;263.03;82;59;52;0.22;0.45;0.87;37;14
2613314.85;1266896.61;262.7;81;59;47;-0.45;-0.77;0.46;37;14
2613315.58;1266899.96;263.7;79;55;51;-0.31;-0.52;0.79;37;14
2613310.16;1266901.78;262.56;75;60;56;-0.59;-0.32;0.75;37;14
2613313.55;1266901.74;263.6;82;56;51;-0.3;-0.27;0.91;37;14
2613314.6;1266894.64;262.62;83;64;57;-0.15;-0.1;0.98;70;14
2613315.83;1266894.39;262.73;80;55;48;0.0;-0.04;1.0;70;14
2613313.24;1266903.09;263.9;82;66;67;0.08;-0.77;0.64;37;14
2613314.23;1266896.1;262.99;75;55;51;-0.38;-0.34;0.86;70;14
2613312.07;1266902.19;263.19;81;56;50;-0.19;-0.09;0.98;37;14
2613313.06;1266900.34;263.17;82;56;50;-0.26;-0.14;0.96;37;14
2613313.0;1266896.79;262.65;79;61;58;-0.84;-0.46;0.28;37;14
2613308.06;1266905.61;262.36;87;71;70;-0.86;-0.51;0.05;27;14
2613314.11;1266898.67;263.4;91;64;59;-0.62;-0.46;0.63;37;14
2613310.78;1266902.02;262.88;82;63;61;-0.32;-0.14;0.94;37;14
2613309.97;1266901.99;261.9;115;102;99;-0.86;-0.5;0.02;37;14
2613311.76;1266898.98;261.95;108;98;94;-0.85;-0.53;0.03;37;14
2613315.83;1266894.64;262.74;80;55;48;0.02;-0.06;1.0;70;14
2613312.81;1266897.07;261.99;110;98;97;-0.86;-0.51;-0.03;37;14
2613310.84;1266900.52;261.89;114;100;98;-0.86;-0.52;-0.02;37;14
2613313.25;1266897.7;262.94;87;73;68;-0.42;-0.09;0.9;37;14
2613314.97;1266899.55;263.07;75;54;49;-0.4;-0.63;0.67;37;14
2613311.21;1266904.21;263.52;84;58;53;-0.53;-0.19;0.83;37;14
2613315.28;1266896.34;263.3;74;49;42;-0.37;-0.28;0.89;70;14
2613311.52;1266899.35;261.9;107;95;90;-0.86;-0.49;-0.11;37;14
2613311.39;1266904.03;263.39;81;55;50;-0.09;-0.46;0.88;37;14
2613311.33;1266900.24;262.62;81;61;57;-0.4;-0.31;0.86;37;14
2613312.32;1266898.33;262.66;74;54;49;-0.63;-0.32;0.71;37;14
2613315.4;1266897.03;262.84;75;54;49;-0.12;-0.03;0.99;37;14
2613312.01;1266902.54;263.64;92;64;59;-0.39;-0.16;0.91;37;14
2613312.32;1266900.53;263.0;78;56;51;-0.19;-0.17;0.97;37;14
2613312.81;1266900.29;262.98;87;67;64;-0.26;-0.24;0.93;37;14
2613314.42;1266896.72;263.01;80;55;48;-0.46;0.23;0.86;37;14
2613311.58;1266899.81;262.66;78;58;51;-0.53;-0.26;0.81;37;14
2613312.32;1266898.82;262.68;81;63;58;-0.48;-0.28;0.83;37;14
2613309.3;1266904.6;262.87;83;62;59;-0.23;-0.19;0.95;37;14
2613312.07;1266898.77;262.49;76;55;52;-0.33;-0.11;0.94;37;14
2613310.53;1266904.46;263.29;92;71;71;-0.17;-0.35;0.92;37;14
2613310.59;1266900.94;262.16;97;83;80;-0.85;-0.52;0.06;37;14
