X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613494.08;1266964.53;269.89;103;83;84;-0.46;0.02;0.89;45;20
2613499.56;1266953.85;267.64;95;84;83;-0.67;-0.74;-0.03;61;20
2613494.93;1266967.62;268.23;65;47;46;-0.38;0.34;0.86;45;20
2613499.8;1266965.7;268.62;79;64;70;0.13;0.53;0.84;45;20
2613497.09;1266961.77;268.41;88;67;66;0.15;-0.44;0.88;45;20
2613495.67;1266966.16;269.28;77;57;60;-0.56;0.4;0.73;45;20
2613496.91;1266958.75;268.41;83;62;63;-0.23;-0.14;0.96;61;20
2613493.46;1266960.66;268.26;85;61;57;-0.15;-0.21;0.97;45;20
2613496.42;1266964.53;270.19;74;56;59;0.04;0.28;0.96;45;20
2613492.78;1266961.22;268.04;92;70;66;-0.31;-0.04;0.95;45;20
2613495.8;1266965.79;269.45;83;62;61;0.61;-0.5;0.61;45;20
2613498.88;1266961.73;269.33;89;66;68;-0.54;-0.5;0.67;45;20
2613497.04;1266956.84;268.33;87;68;68;-0.18;0.09;0.98;61;20
2613494.82;1266958.76;268.05;84;65;63;-0.06;-0.01;1.0;61;20
2613497.96;1266962.01;268.6;91;67;66;-0.72;-0.06;0.69;45;20
2613496.9;1266967.91;268.73;71;54;57;-0.06;0.43;0.9;45;20
2613496.29;1266959.98;268.28;84;60;56;-0.0;-0.02;1.0;61;20
2613496.3;1266957.03;268.1;83;64;60;-0.52;-0.57;0.64;61;20
2613498.76;1266954.76;268.17;80;59;56;-0.44;-0.66;0.61;61;20
2613494.86;1266968.76;267.48;64;48;46;-0.76;0.52;0.38;45;20
2613493.88;1266967.65;267.5;60;49;48;-0.61;0.49;0.63;45;20
2613494.26;1266959.99;268.16;85;62;59;-0.18;-0.39;0.9;45;20
2613496.66;1266963.73;268.68;79;61;61;-0.16;-0.91;0.39;45;20
2613498.33;1266955.12;268.19;83;64;58;-0.42;-0.31;0.85;61;20
2613499.81;1266953.89;268.2;83;63;58;-0.4;-0.58;0.71;61;20
2613498.13;1266968.38;267.88;69;51;51;0.51;0.21;0.83;45;20
2613491.73;1266965.63;267.24;73;61;58;-0.61;0.6;0.52;45;20
2613499.99;1266959.99;269.62;87;64;65;-0.31;-0.29;0.9;61;20
2613499.44;1266962.95;269.62;76;61;66;0.31;0.18;0.93;45;20
2613499.38;1266955.11;268.43;92;69;70;-0.11;-0.25;0.96;61;20
2613494.38;1266964.4;268.78;93;67;68;-0.07;-0.47;0.88;45;20
2613498.45;1266958.54;269.07;88;66;68;-0.44;-0.03;0.9;61;20
2613495.43;1266964.46;268.78;86;61;61;0.16;-0.39;0.9;45;20
2613498.76;1266964.17;269.98;56;38;24;-0.78;-0.25;0.58;45;20
2613496.61;1266956.6;268.08;78;61;59;-0.69;-0.68;0.25;61;20
2613499.37;1266965.44;269.11;72;48;42;0.05;0.46;0.89;45;20
2613496.41;1266967.47;269.02;71;52;54;-0.09;0.5;0.86;45;20
2613497.96;1266960.52;268.66;85;60;56;-0.66;0.45;0.6;61;20
2613496.48;1266962.43;268.75;86;63;64;0.08;-0.22;0.97;45;20
2613497.4;1266962.49;268.81;86;62;61;0.03;-0.66;0.75;45;20
2613491.86;1266963.55;268.26;81;59;59;-0.07;-0.34;0.94;45;20
2613491.98;1266964.41;268.48;73;53;53;-0.62;0.39;0.68;45;20
2613496.54;1266956.55;267.89;82;66;65;-0.72;-0.69;0.09;61;20
2613495.49;1266961.5;268.78;85;63;62;-0.19;-0.01;0.98;45;20
2613497.46;1266967.16;269.0;67;52;54;0.26;0.3;0.92;45;20
2613494.68;1266967.19;268.21;63;44;41;-0.45;0.24;0.86;45;20
2613491.3;1266963.44;268.01;83;62;61;-0.07;-0.14;0.99;45;20
2613495.25;1266958.94;268.12;86;67;65;-0.12;-0.08;0.99;61;20
2613496.54;1266961.27;268.39;90;66;66;0.45;-0.45;0.77;45;20
2613495.8;1266959.3;268.31;84;61;57;0.0;-0.03;1.0;61;20
2613497.1;1266962.55;270.41;103;83;82;-0.64;0.19;0.75;45;20
2613495.93;1266958.38;268.34;84;59;55;-0.07;-0.08;0.99;61;20
2613498.58;1266954.76;268.11;82;65;63;-0.63;-0.77;0.13;61;20
2613496.67;1266964.46;270.25;74;55;56;0.19;0.4;0.9;45;20
2613493.02;1266966.79;267.47;60;44;39;-0.42;0.47;0.77;45;20
2613499.43;1266966.63;268.48;61;46;44;0.55;0.2;0.81;45;20
2613498.32;1266965.6;269.49;61;44;42;0.18;0.57;0.8;45;20
2613499.13;1266961.3;269.37;85;62;62;-0.57;-0.07;0.82;45;20
2613497.16;1266964.19;269.37;85;64;65;-0.44;-0.46;0.77;45;20
2613497.53;1266958.86;268.6;87;65;64;-0.21;-0.24;0.95;61;20
