X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613457.47;1266963.6;258.68;81;73;71;-0.8;-0.6;0.04;46;6
2613457.47;1266963.78;258.87;65;55;55;-0.97;-0.24;0.03;46;6
2613456.6;1266965.29;257.89;76;76;76;-0.3;0.06;0.95;46;6
2613457.47;1266964.78;258.36;57;42;39;-0.52;0.59;0.62;46;6
2613457.22;1266964.04;258.39;60;53;50;-0.81;-0.43;0.4;46;6
2613456.73;1266965.05;257.82;62;61;60;-0.51;0.4;0.77;46;6
2613457.28;1266963.92;258.39;75;68;66;-0.78;-0.58;0.26;46;6
2613457.16;1266965.05;257.94;52;41;39;-0.48;0.4;0.78;46;6
2613456.67;1266965.48;257.9;79;81;78;-0.22;0.21;0.95;46;6
2613457.28;1266964.72;258.3;56;44;41;-0.5;0.58;0.64;46;6
2613457.41;1266964.34;258.65;60;45;42;-0.47;0.55;0.69;46;6
2613457.22;1266964.98;258.06;55;42;40;-0.51;0.4;0.76;46;6
2613456.79;1266964.5;257.86;60;58;57;-0.71;-0.3;0.64;46;6
2613456.97;1266964.12;257.97;89;83;82;-0.61;-0.78;0.11;46;6
2613457.16;1266964.86;258.0;55;42;40;-0.51;0.4;0.77;46;6
2613456.91;1266964.25;257.91;80;73;73;-0.78;-0.5;0.38;46;6
2613457.41;1266964.59;258.48;58;44;40;-0.49;0.55;0.68;46;6
2613457.41;1266964.85;258.18;57;42;38;-0.48;0.54;0.69;46;6
2613457.1;1266964.3;258.22;63;52;51;-0.78;-0.03;0.63;46;6
2613457.22;1266964.1;258.58;59;52;49;-0.88;-0.31;0.36;46;6
2613456.79;1266964.8;257.87;56;51;50;-0.57;0.22;0.79;46;6
2613457.22;1266964.29;258.4;58;46;44;-0.73;0.09;0.67;46;6
2613457.47;1266964.27;258.77;61;46;43;-0.44;0.58;0.68;46;6
2613456.98;1266964.3;258.1;64;57;56;-0.8;-0.32;0.51;46;6
2613457.22;1266964.53;258.41;59;44;41;-0.45;0.53;0.72;46;6
2613456.97;1266964.73;258.05;56;47;45;-0.42;0.47;0.77;46;6
2613457.16;1266964.79;258.12;56;43;41;-0.49;0.44;0.75;46;6
2613457.28;1266966.34;257.87;77;80;80;-0.49;0.27;0.83;46;6
2613456.6;1266965.48;257.9;79;81;79;-0.21;0.19;0.96;46;6
2613457.46;1266965.48;257.84;51;42;41;-0.47;0.52;0.71;46;6
2613457.28;1266966.34;257.87;77;80;80;-0.49;0.27;0.83;46;6
2613456.91;1266964.55;257.92;58;49;48;-0.66;0.09;0.75;46;6
2613457.4;1266965.11;258.01;55;42;39;-0.47;0.41;0.78;46;6
2613457.47;1266965.29;257.95;52;40;37;-0.49;0.44;0.75;46;6
2613457.47;1266963.53;258.86;81;73;73;-0.81;-0.58;0.04;46;6
2613457.35;1266964.16;258.64;62;51;49;-0.8;0.06;0.59;46;6
2613457.41;1266963.72;258.69;73;63;62;-0.83;-0.56;0.04;46;6
2613457.47;1266965.23;258.07;56;43;40;-0.43;0.42;0.8;46;6
2613456.97;1266964.55;258.11;57;46;44;-0.64;0.22;0.74;46;6
2613456.67;1266965.23;257.89;74;73;74;-0.37;0.14;0.92;46;6
2613457.28;1266966.34;257.87;77;80;80;-0.49;0.27;0.83;46;6
