X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613335.9;1266905.25;267.28;76;55;48;-0.21;0.06;0.98;98;1
2613342.81;1266903.82;269.22;81;61;64;0.26;0.57;0.78;98;1
2613336.03;1266904.88;267.44;82;55;51;-0.5;0.1;0.86;98;1
2613342.99;1266903.04;268.88;71;57;56;0.0;-1.0;0.05;98;1
2613337.94;1266905.35;268.01;76;58;58;-0.65;-0.13;0.75;98;1
2613341.95;1266903.26;269.38;75;59;61;0.3;-0.84;0.46;98;1
2613336.09;1266903.36;266.83;92;80;76;-0.13;-0.99;0.01;98;1
2613343.97;1266903.74;268.23;71;54;54;0.22;0.2;0.95;98;1
2613338.25;1266903.84;268.62;80;60;57;-0.4;0.03;0.92;98;1
2613339.43;1266904.04;269.86;88;61;58;-0.39;-0.01;0.92;98;1
2613338.99;1266903.96;268.87;76;55;53;-0.59;-0.14;0.8;98;1
2613338.74;1266903.9;268.75;77;57;58;-0.73;0.37;0.58;98;1
2613337.26;1266905.22;268.01;85;57;53;-0.47;0.24;0.85;98;1
2613337.7;1266903.96;268.75;78;59;55;-0.57;0.08;0.81;98;1
2613340.53;1266903.25;269.64;81;63;61;-0.01;-0.96;0.29;98;1
2613335.97;1266905.19;267.33;79;54;49;-0.38;0.06;0.92;98;1
2613341.4;1266903.19;269.63;77;59;58;0.02;-0.85;0.52;98;1
2613342.44;1266904.25;269.42;76;61;67;0.49;-0.08;0.87;98;1
2613343.48;1266904.28;268.56;80;57;57;0.73;0.04;0.68;98;1
2613344.95;1266905.37;267.61;89;76;86;0.33;0.14;0.93;98;1
2613343.23;1266905.15;267.05;83;63;62;0.84;0.35;-0.42;98;1
2613343.1;1266904.92;266.55;83;63;63;0.85;0.28;-0.44;98;1
2613338.56;1266904.47;268.46;77;58;57;-0.4;0.07;0.91;98;1
2613339.92;1266904.17;269.74;75;58;60;0.0;0.46;0.89;98;1
2613342.19;1266905.16;269.65;78;56;58;0.49;0.01;0.87;98;1
2613335.54;1266904.58;267.19;70;55;48;-0.32;0.1;0.94;98;1
2613343.66;1266904.79;268.21;79;65;71;0.72;-0.44;0.54;98;1
2613342.75;1266903.95;269.22;81;62;65;0.32;0.51;0.8;98;1
2613342.38;1266905.47;269.6;75;54;57;0.65;-0.05;0.76;98;1
2613338.62;1266904.9;268.54;75;56;56;-0.47;-0.01;0.88;98;1
2613337.26;1266905.17;267.88;80;56;51;-0.41;0.17;0.9;98;1
2613336.4;1266904.32;267.48;73;56;50;-0.64;-0.03;0.77;98;1
2613337.2;1266904.12;267.84;78;56;52;-0.46;0.28;0.84;98;1
2613344.65;1266903.62;268.34;89;70;79;0.19;-0.69;0.69;98;1
