X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613459.03;1266868.18;261.75;81;57;57;0.66;0.13;0.74;38;12
2613471.53;1266869.05;261.73;83;60;52;-0.01;-0.91;0.41;13;12
2613459.03;1266868.3;261.75;81;57;57;0.67;0.07;0.74;38;12
2613459.03;1266868.18;261.75;81;57;57;0.66;0.13;0.74;38;12
2613459.03;1266868.3;261.75;81;57;57;0.67;0.07;0.74;38;12
2613459.03;1266868.24;261.75;81;57;57;0.67;0.08;0.74;38;12
2613457.44;1266869.21;263.46;75;59;60;0.18;-0.18;0.97;38;12
2613457.44;1266869.21;263.46;75;59;60;0.18;-0.18;0.97;38;12
2613456.82;1266869.73;262.81;82;57;53;-0.84;-0.03;-0.55;38;12
2613457.44;1266869.21;263.46;75;59;60;0.18;-0.18;0.97;38;12
2613456.82;1266869.73;262.81;82;57;53;-0.84;-0.03;-0.55;38;12
2613456.82;1266869.73;262.81;82;57;53;-0.84;-0.03;-0.55;38;12
2613456.82;1266869.73;262.81;82;57;53;-0.84;-0.03;-0.55;38;12
2613456.82;1266869.73;262.81;82;57;53;-0.84;-0.03;-0.55;38;12
2613456.82;1266869.73;262.81;82;57;53;-0.84;-0.03;-0.55;38;12
2613457.44;1266869.21;263.46;75;59;60;0.18;-0.18;0.97;38;12
2613463.78;1266870.12;263.9;75;57;58;-0.41;0.84;0.35;13;12
2613464.15;1266869.87;264.2;91;73;73;-0.2;-0.23;0.95;13;12
2613470.49;1266869.62;264.28;83;67;67;0.01;-0.18;0.98;13;12
2613472.95;1266870.57;263.76;66;52;52;0.0;0.81;0.59;13;12
2613459.59;1266867.69;263.08;84;59;55;-0.65;-0.06;-0.76;38;12
2613463.84;1266870.06;264.02;79;62;62;-0.42;0.3;0.86;13;12
2613461.06;1266870.69;262.15;86;63;58;-0.55;-0.58;0.6;38;12
2613463.28;1266869.69;262.47;85;62;54;-0.41;0.04;0.91;38;12
2613463.59;1266869.81;264.01;90;70;70;-0.26;-0.02;0.96;13;12
2613472.03;1266870.01;263.86;65;51;51;0.22;0.74;0.63;13;12
2613462.98;1266870.81;263.75;76;57;58;-0.51;0.14;0.85;38;12
2613462.98;1266871.31;263.58;72;56;57;-0.33;0.73;0.59;38;12
2613459.59;1266867.69;263.08;84;59;55;-0.65;-0.06;-0.76;38;12
2613472.89;1266869.26;264.32;93;74;74;0.31;0.21;0.93;13;12
2613459.59;1266867.69;263.08;84;59;55;-0.65;-0.06;-0.76;38;12
2613462.17;1266870.54;262.82;75;61;74;-0.12;0.99;0.07;38;12
2613472.94;1266871.22;263.11;69;57;60;-0.17;0.52;0.84;13;12
2613463.65;1266868.97;263.42;85;57;54;0.62;-0.09;0.78;13;12
2613458.61;1266869.27;263.52;74;55;57;-0.74;0.54;0.41;38;12
2613459.47;1266868.06;263.16;84;59;55;-0.65;-0.06;-0.76;38;12
2613463.77;1266870.72;262.94;85;65;59;-0.2;-0.96;0.17;13;12
2613459.41;1266868.04;263.53;78;59;59;0.0;-0.45;0.89;38;12
2613472.89;1266870.63;263.76;66;52;52;-0.01;0.8;0.59;13;12
2613461.13;1266870.9;262.9;85;65;58;-0.78;-0.42;0.46;38;12
2613462.92;1266870.5;263.74;72;56;58;-0.49;0.13;0.86;38;12
2613462.98;1266871.31;263.52;72;56;57;-0.33;0.74;0.59;38;12
2613472.95;1266870.19;264.05;65;50;52;-0.25;0.36;0.9;13;12
2613463.1;1266870.06;263.96;84;66;67;-0.11;-0.19;0.98;38;12
2613459.04;1266870.56;263.76;67;50;51;0.22;0.6;0.77;38;12
2613458.98;1266868.29;263.54;77;59;59;-0.47;-0.02;0.88;38;12
2613463.28;1266870.91;262.83;84;64;57;-0.28;-0.96;-0.01;13;12
2613459.9;1266871.2;263.1;73;57;67;0.2;0.67;0.72;38;12
2613464.2;1266870.78;262.88;85;64;59;-0.02;-0.99;0.13;13;12
2613459.22;1266869.71;263.35;77;58;64;-0.23;0.09;0.97;38;12
2613460.14;1266871.45;262.93;75;57;63;0.04;0.68;0.73;38;12
2613471.78;1266869.32;264.14;86;56;54;0.04;-0.78;0.63;13;12
2613458.6;1266868.4;262.37;81;60;57;0.11;-0.79;0.61;38;12
2613473.2;1266870.19;264.05;65;52;54;0.39;0.27;0.88;13;12
2613462.36;1266870.06;263.91;86;68;69;-0.46;-0.36;0.81;38;12
2613463.1;1266870.49;263.92;68;54;56;-0.19;0.58;0.79;38;12
2613464.02;1266870.27;263.41;84;62;61;-0.19;-0.86;-0.48;13;12
2613473.07;1266869.77;262.31;64;52;54;0.99;0.01;-0.12;13;12
2613473.01;1266869.76;264.15;71;56;60;0.0;0.5;0.86;13;12
2613460.63;1266871.3;262.3;84;64;57;-0.77;-0.36;0.52;38;12
2613463.16;1266869.63;264.01;98;79;78;0.0;0.01;1.0;38;12
2613464.03;1266869.69;264.07;91;69;69;-0.27;-0.52;0.81;13;12
2613464.2;1266870.78;262.88;85;64;59;-0.02;-0.99;0.13;13;12
2613473.13;1266871.02;263.34;69;54;56;0.1;0.45;0.89;13;12
2613463.29;1266870.06;264.02;83;66;66;-0.31;-0.09;0.95;13;12
2613461.13;1266870.9;262.9;85;65;58;-0.78;-0.42;0.46;38;12
2613462.05;1266870.63;263.44;86;66;62;-0.07;-0.08;0.99;38;12
2613472.03;1266869.33;264.08;90;69;69;-0.45;0.36;0.82;13;12
