X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613488.25;1266907.95;255.63;70;47;41;-0.4;-0.49;0.78;44;-1
2613486.96;1266912.09;256.85;77;58;55;0.14;0.48;0.87;44;-1
2613485.91;1266912.12;255.93;65;58;54;-0.96;0.07;0.28;44;-1
2613487.88;1266912.86;256.2;75;51;47;0.05;0.7;0.72;44;-1
2613487.14;1266910.63;256.48;73;49;45;-0.12;-0.74;0.66;44;-1
2613487.69;1266914.12;255.51;72;55;56;-0.15;0.55;0.83;44;-1
2613486.03;1266913.17;255.91;59;46;44;-0.68;0.38;0.63;44;-1
2613486.95;1266913.17;255.91;73;52;47;0.11;0.32;0.94;44;-1
2613488.0;1266909.07;255.49;72;49;42;0.0;-0.04;1.0;44;-1
2613485.97;1266912.42;256.13;55;43;42;-0.87;0.15;0.47;44;-1
2613486.46;1266912.41;256.43;75;58;60;-0.22;0.62;0.76;44;-1
2613486.22;1266910.49;256.73;77;57;53;-0.28;-0.42;0.86;44;-1
2613485.78;1266911.44;256.15;78;71;69;-0.94;0.19;0.27;44;-1
2613487.5;1266913.17;255.91;77;58;59;0.14;0.5;0.85;44;-1
2613487.32;1266907.96;255.45;70;51;45;-0.31;-0.77;0.56;44;-1
2613487.32;1266909.67;255.76;72;47;42;0.06;-0.55;0.83;44;-1
2613487.38;1266912.78;256.51;77;61;60;-0.08;0.63;0.77;44;-1
2613487.14;1266912.66;256.44;75;60;63;-0.16;0.68;0.71;44;-1
2613488.19;1266910.02;256.21;80;54;48;0.01;-0.66;0.75;44;-1
2613487.45;1266908.14;255.51;70;49;44;-0.12;-0.4;0.91;44;-1
2613488.86;1266913.32;255.41;86;71;82;0.48;-0.25;0.84;44;-1
2613486.77;1266910.68;256.73;78;54;50;0.23;-0.44;0.87;44;-1
2613486.76;1266914.37;255.41;65;54;56;0.1;0.77;0.63;44;-1
2613486.46;1266909.06;255.68;84;56;51;0.31;-0.49;0.81;44;-1
2613488.8;1266910.04;255.77;78;53;47;0.25;-0.35;0.9;44;-1
2613487.82;1266909.79;255.95;77;53;46;0.05;-0.77;0.63;44;-1
2613485.78;1266913.39;255.18;82;77;75;-1.0;-0.0;0.04;44;-1
2613487.26;1266910.59;255.92;76;53;46;-0.08;-0.68;0.73;44;-1
2613488.19;1266909.78;256.01;78;54;47;-0.05;-0.73;0.68;44;-1
2613487.32;1266907.79;255.01;72;58;52;0.06;-1.0;-0.07;44;-1
2613488.25;1266907.79;255.0;65;50;45;-0.06;-0.99;-0.16;44;-1
2613486.58;1266907.92;254.95;67;53;47;-0.27;-0.93;-0.26;44;-1
2613488.13;1266911.16;256.87;85;61;59;0.13;-0.21;0.97;44;-1
2613486.15;1266914.12;255.34;56;46;47;-0.5;0.61;0.61;44;-1
2613486.71;1266910.91;256.93;83;60;56;0.16;-0.4;0.9;44;-1
2613486.21;1266913.86;255.63;68;60;65;-0.34;0.54;0.77;44;-1
2613486.77;1266911.22;256.94;81;62;61;-0.04;-0.01;1.0;44;-1
2613487.45;1266910.68;256.67;78;54;50;0.14;-0.53;0.83;44;-1
2613485.97;1266912.18;256.18;56;45;44;-0.91;0.17;0.38;44;-1
2613485.91;1266911.13;256.2;67;59;56;-0.97;-0.07;0.25;44;-1
2613487.02;1266908.15;255.33;74;52;46;-0.11;-0.58;0.81;44;-1
