X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613488.78;1266707.36;257.49;57;43;40;-0.86;0.43;0.28;0;0
2613488.97;1266707.61;257.5;58;45;43;-0.79;0.44;0.42;0;0
2613489.27;1266708.09;257.7;60;46;43;-0.71;0.36;0.61;0;0
2613488.72;1266707.06;257.23;63;51;48;-0.96;0.16;0.24;0;0
2613488.84;1266706.69;257.4;83;73;72;-0.81;-0.53;0.27;0;0
2613489.03;1266708.05;257.27;62;52;48;-0.89;0.39;0.21;0;0
2613489.27;1266707.59;257.86;72;53;49;-0.49;0.11;0.87;0;0
2613488.78;1266706.81;257.47;70;56;53;-0.93;-0.16;0.34;0;0
2613489.09;1266708.04;257.45;55;42;40;-0.89;0.38;0.24;0;0
2613489.27;1266708.34;257.53;56;42;41;-0.82;0.44;0.37;0;0
2613489.28;1266706.61;257.76;77;63;61;-0.6;-0.39;0.7;0;0
2613488.96;1266707.86;257.26;61;50;46;-0.89;0.39;0.23;0;0
2613489.27;1266708.34;257.71;62;47;44;-0.7;0.44;0.56;0;0
2613488.84;1266707.23;257.73;65;50;47;-0.67;0.47;0.57;0;0
2613488.78;1266707.11;257.48;59;46;42;-0.87;0.27;0.41;0;0
2613489.34;1266706.6;257.95;74;55;49;-0.56;-0.03;0.83;0;0
2613489.03;1266707.6;257.74;65;51;48;-0.68;0.25;0.68;0;0
2613489.33;1266708.46;257.65;62;50;45;-0.8;0.42;0.43;0;0
2613489.09;1266706.61;257.7;78;68;65;-0.61;-0.49;0.62;0;0
2613488.84;1266707.55;257.25;58;47;44;-0.91;0.38;0.18;0;0
2613489.34;1266706.85;257.96;77;53;48;-0.61;-0.12;0.78;0;0
2613489.34;1266707.59;257.86;74;54;50;-0.43;0.08;0.9;0;0
2613489.03;1266706.62;257.52;82;73;70;-0.69;-0.53;0.49;0;0
2613489.27;1266708.59;257.48;62;50;46;-0.82;0.49;0.29;0;0
2613489.33;1266708.73;257.23;70;61;56;-0.85;0.52;0.11;0;0
2613489.03;1266706.85;257.77;72;55;51;-0.65;-0.04;0.76;0;0
2613488.9;1266707.42;257.55;60;46;44;-0.76;0.42;0.49;0;0
2613489.09;1266707.78;257.69;65;51;47;-0.68;0.26;0.69;0;0
2613489.4;1266708.33;257.77;62;48;45;-0.54;0.48;0.7;0;0
2613489.21;1266707.34;257.86;74;54;50;-0.44;0.24;0.86;0;0
2613489.03;1266707.85;257.45;58;43;40;-0.89;0.39;0.23;0;0
2613489.03;1266707.35;257.73;68;52;49;-0.51;0.39;0.77;0;0
2613489.03;1266706.72;258.01;75;54;47;-0.36;0.43;0.83;0;0
2613489.27;1266707.9;257.75;67;50;48;-0.64;0.26;0.72;0;0
2613488.84;1266706.85;257.77;70;53;47;-0.62;0.29;0.73;0;0
2613488.97;1266707.11;257.54;66;51;46;-0.76;-0.0;0.65;0;0
2613489.21;1266708.35;257.28;58;48;46;-0.91;0.38;0.18;0;0
