Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612746.2834653463,1266077.5255445545,291.7,8.02
2,2612752.55760181,1266071.141085973,291.7,8.39
3,2612152.0086982246,1266080.2427218936,289.57,7.33
4,2612774.5435021096,1266006.6000421941,289.51,12.28
5,2612262.242244898,1266151.3810204081,288.54,7.9
6,2612189.63877193,1266116.8168421052,287.65,6.02
7,2612176.2163309352,1266111.9864748202,287.61,6.65
8,2612227.279171271,1266079.0081767957,286.92,7.59
9,2612218.58026178,1266084.9307853405,286.81,7.8
10,2612167.600833333,1266094.0591666668,286.78,6.18
11,2612261.851698113,1266145.1649056606,286.72,5.81
12,2612123.611981982,1266077.8367567568,286.63,5.94
13,2612305.2638028166,1266103.7454929578,286.55,6.72
14,2612792.03625,1266024.1300000001,286.55,8.74
15,2612697.248556701,1266013.2397938145,286.43,9.62
16,2612244.791764706,1266090.953529412,286.42,7.36
17,2612203.6616901406,1266114.389859155,286.23,6.72
18,2612227.953979592,1266161.0340816327,286.22,7.9
19,2612751.6164864865,1266017.5293243243,286.1,6.86
20,2612182.9971875,1266104.58,286.01,6.38
21,2612194.7728571426,1266090.173167702,286.01,7.16
22,2612162.4633333334,1266093.5985185185,285.92,4.15
23,2612247.2561682244,1266073.7762616824,285.9,5.84
24,2612237.0832163743,1266171.4133333333,285.7,7.38
25,2612238.0539130433,1266109.4205797103,285.69,6.63
26,2612756.096887417,1266008.7985430465,285.68,6.93
27,2612669.263333333,1266018.9644444445,285.53,8.46
28,2612178.539090909,1266101.5951515152,285.46,5.61
29,2612687.5843568463,1266024.2978423238,285.45,8.76
30,2612194.782173913,1266106.9669565219,285.39,6.05
31,2612115.275669291,1266162.9146456693,285.38,6.36
32,2612760.4913861384,1266015.1963366338,285.37,8.02
33,2612314.7566233766,1266096.537792208,285.25,7.0
34,2612756.4712698413,1266004.326031746,285.17,4.48
35,2612202.3662204724,1266141.8831496064,285.15,6.36
36,2612206.2624786324,1266193.1782905983,285.15,6.1
37,2612227.405,1266177.24875,285.1,7.14
38,2612208.461632653,1266157.717755102,285.07,5.59
39,2612215.0336144576,1266205.1522891568,285.07,5.14
40,2612107.961683168,1266128.980990099,285.05,5.67
41,2612217.806923077,1266078.156923077,285.03,6.43
42,2613264.344285714,1266088.9014285714,285.0,2.11
43,2612791.8969491525,1266053.455,284.97,8.67
44,2613175.4896938773,1266890.1335714287,284.96,7.9
45,2612110.155751073,1266251.5757081546,284.91,8.61
46,2612254.320647482,1266137.58,284.87,6.65
47,2612740.0151851852,1266004.8244444446,284.86,6.56
48,2612248.098023256,1266131.033488372,284.8,7.4
49,2612111.5872649574,1266258.7637606838,284.76,6.1
50,2612281.057927928,1266235.2421621622,284.76,5.94
51,2612638.4304032256,1266005.9993548389,284.76,8.88
52,2613258.421245791,1266817.931851852,284.75,9.72
53,2612185.3091666666,1266301.1466666667,284.74,6.18
54,2612244.2978832116,1266160.3208759124,284.66,6.6
55,2612758.88,1266026.9470212767,284.66,5.47
56,2612189.7936363635,1266130.8527272728,284.6,5.92
57,2612750.79875,1266003.06125,284.59,5.05
58,2612708.391658031,1266036.989326425,284.58,7.84
59,2612258.546,1266083.904,284.56,6.31
60,2612725.745702479,1266029.199834711,284.54,6.21
61,2612240.696666667,1266200.5133333334,284.53,3.78
62,2612725.4020588235,1266043.734411765,284.5,9.3
63,2612124.1162068965,1266201.0386206897,284.49,6.79
64,2612116.001794872,1266197.485982906,284.48,6.1
65,2612141.3288950273,1266213.7567955803,284.48,7.59
66,2612179.6483823527,1266308.874117647,284.48,6.58
67,2612760.652727273,1266022.636818182,284.41,3.74
68,2612789.884464286,1266006.6692857144,284.4,5.97
69,2613245.7185608856,1266728.305092251,284.38,9.29
70,2612106.56902439,1266239.7141463414,284.37,6.26
71,2612157.6743548387,1266316.6566129033,284.37,6.28
72,2612130.181351351,1266346.6232432434,284.36,7.67
73,2612190.2966666664,1266176.1697435898,284.35,6.1
74,2612626.3904166664,1266007.1164583333,284.35,5.53
75,2612251.979593496,1266236.5312195122,284.34,6.26
76,2612184.9784848485,1266098.6254545455,284.32,5.61
77,2612272.018888889,1266248.456068376,284.32,6.1
78,2612102.9461764703,1266241.499117647,284.28,4.65
79,2612111.652222222,1266184.3244444446,284.27,6.56
80,2612275.7848117156,1266221.7620083683,284.27,8.72
81,2612629.995079365,1266004.8577777778,284.26,4.48
82,2612778.706923077,1266032.5463461538,284.25,5.75
83,2612173.4633333334,1266252.8022222223,284.24,4.48
84,2612693.973283582,1266081.3486567165,284.23,9.24
85,2612669.3398765433,1266006.5923456792,284.2,8.79
86,2612654.579275362,1266040.346304348,284.16,9.37
87,2612796.2966666664,1266064.8577777778,284.16,9.87
88,2612766.4376923074,1266025.2626923078,284.14,4.07
89,2612304.285737705,1266186.4898360656,284.13,6.23
90,2612134.020625,1266334.908125,284.07,6.38
91,2612730.4022772275,1266016.6790099011,284.07,5.67
92,2612143.755,1266205.47,284.03,5.64
93,2612770.74875,1266019.3050000002,284.01,5.05
94,2612262.107272727,1266089.6633333333,283.97,6.48
95,2612513.012022472,1266010.5996629214,283.97,7.53
96,2612520.9191791043,1266010.5277611942,283.95,9.24
97,2612724.3648066297,1266016.0219889504,283.9,7.59
98,2612300.1408695653,1266180.1560869566,283.88,6.63
99,2612777.104576271,1266037.546101695,283.88,4.33
100,2612142.6465289253,1266438.8733884299,283.83,6.21
101,2612146.08,1266439.28,283.83,4.37
102,2612274.3106722687,1266135.3068907564,283.82,6.15
103,2612201.2123529413,1266230.8388235294,283.81,5.2
104,2612129.657173913,1266287.4876086956,283.78,5.41
105,2612716.1444927533,1266007.025652174,283.78,6.63
106,2612786.195116279,1266070.0288372093,283.78,8.27
107,2612648.091832061,1266005.6487022901,283.76,6.46
108,2612782.4498198195,1266002.1025225227,283.76,5.94
109,2612227.9662068966,1266210.5713793105,283.74,4.3
110,2612674.0461392403,1266048.5420253165,283.73,10.03
111,2612537.433977273,1266013.4010227274,283.7,7.48
112,2612644.1766666668,1266008.4466666668,283.7,4.89
113,2612117.562773109,1266341.3699159664,283.66,6.15
114,2612530.3422302157,1266020.7058992807,283.66,6.65
115,2612431.6703726705,1266112.5054658386,283.65,7.16
116,2612763.7498630136,1266088.5354794522,283.63,6.82
117,2612225.9091666667,1266168.1800000002,283.62,6.18
118,2612220.88,1266198.9912903227,283.6,4.44
119,2612292.3657142855,1266160.4300000002,283.6,4.72
120,2612765.0629268293,1266070.366585366,283.6,7.23
121,2612161.7966666664,1266261.7466666668,283.59,4.89
122,2612163.556829268,1266244.854390244,283.59,5.11
123,2612438.5278494623,1266114.760107527,283.58,7.69
124,2612309.710645161,1266147.3541935484,283.55,3.14
125,2612177.88,1266233.9023684212,283.54,4.92
126,2612746.469285714,1266087.0234523811,283.54,7.31
127,2612393.785688623,1266158.8764071858,283.5,7.29
128,2612715.6701234565,1266028.5090123457,283.5,7.18
129,2612721.337006369,1266035.4175796178,283.5,7.07
130,2612278.872424242,1266169.686060606,283.49,4.58
131,2612732.542337662,1266010.6774025974,283.45,7.0
132,2612905.9849222796,1266217.7276683939,283.45,7.84
133,2612664.5693939393,1266002.6002020203,283.44,5.61
134,2612746.1995876287,1266010.3583505156,283.43,7.86
135,2612720.63,1266038.4221052632,283.42,2.46
136,2612318.474827586,1266624.6633333333,283.41,7.44
137,2612787.0425874125,1266033.6254545455,283.39,6.75
138,2612648.33,1266015.49,283.37,6.91
139,2612111.4633333334,1266126.33,283.36,1.95
140,2612690.1702684565,1266050.1638926174,283.33,6.89
141,2612267.1563888886,1266369.5452777778,283.32,10.7
142,2612405.5377669903,1266115.3664077672,283.32,5.73
143,2612780.593963964,1266059.1836036036,283.32,5.94
144,2612686.482739726,1266086.758082192,283.31,6.82
145,2612767.606190476,1266066.2942857144,283.31,3.66
146,2612391.5075510205,1266126.972857143,283.29,5.59
147,2612686.218235294,1266017.7785294119,283.29,4.65
148,2612657.75,1266025.8833333333,283.28,6.91
