X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613213.45;1266917.45;277.01;64;50;49;0.33;-0.79;0.52;7;7
2613216.83;1266918.33;276.72;53;40;37;0.23;-0.86;0.46;7;7
2613210.92;1266917.86;276.05;66;48;42;-0.87;-0.19;0.45;7;7
2613212.89;1266916.79;275.26;35;25;22;0.38;-0.82;0.43;7;7
2613214.42;1266917.33;275.46;37;30;27;0.32;-0.89;0.33;7;7
2613211.47;1266917.6;276.41;66;49;49;-0.46;-0.27;0.85;7;7
2613217.81;1266918.36;276.04;58;41;37;0.46;-0.81;0.36;7;7
2613212.89;1266917.28;276.76;58;38;36;-0.01;-0.89;0.45;7;7
2613212.46;1266916.93;276.19;53;37;33;0.09;-0.88;0.46;7;7
2613218.11;1266918.28;275.05;62;47;42;0.31;-0.84;0.44;7;7
2613211.53;1266916.81;276.13;62;44;42;-0.47;-0.38;0.79;7;7
2613211.66;1266916.81;276.19;65;45;43;-0.31;-0.4;0.86;7;7
2613216.52;1266918.44;277.1;69;55;56;0.04;-0.72;0.69;7;7
2613210.91;1266917.28;275.17;53;36;29;-0.94;-0.33;-0.0;7;7
2613210.79;1266917.77;275.19;54;38;34;-0.94;-0.29;0.21;7;7
2613215.71;1266917.54;275.03;34;25;24;0.21;-0.92;0.33;7;7
2613211.91;1266916.98;276.51;65;47;45;-0.48;-0.7;0.53;7;7
2613213.81;1266916.86;275.07;39;34;30;0.2;-0.86;0.47;7;7
2613216.64;1266917.66;274.97;51;42;39;0.23;-0.87;0.44;7;7
2613218.36;1266918.34;275.12;58;43;38;0.34;-0.8;0.5;7;7
2613218.49;1266918.44;275.67;43;28;22;0.5;-0.77;0.39;7;7
2613214.67;1266917.78;276.59;53;36;32;0.18;-0.9;0.39;7;7
2613212.95;1266916.95;275.7;45;34;30;0.28;-0.92;0.26;7;7
2613215.22;1266916.31;274.86;54;60;50;-0.24;0.78;0.58;7;7
2613211.84;1266917.58;276.84;76;53;50;-0.49;-0.3;0.81;7;7
2613217.25;1266917.8;274.79;63;54;51;0.18;-0.98;0.02;7;7
2613213.93;1266917.15;275.52;33;23;21;0.3;-0.93;0.19;7;7
2613216.4;1266918.44;277.1;72;52;50;0.1;-0.75;0.65;7;7
2613211.04;1266917.26;275.72;65;44;38;-0.95;-0.22;0.24;7;7
2613211.1;1266916.9;275.46;48;30;26;-0.97;-0.24;0.11;7;7
2613219.16;1266918.38;275.67;52;35;31;0.07;-0.83;0.55;7;7
2613215.41;1266918.02;276.78;54;39;36;0.32;-0.83;0.45;7;7
2613216.58;1266917.83;275.53;48;36;32;0.17;-0.94;0.28;7;7
2613211.54;1266917.23;276.33;64;48;47;-0.56;-0.39;0.73;7;7
2613214.61;1266917.55;276.27;38;26;24;-0.06;-0.99;0.09;7;7
2613214.12;1266917.27;275.52;34;25;22;0.24;-0.94;0.26;7;7
2613210.3;1266918.19;275.39;53;41;43;-0.23;0.97;0.06;7;7
2613218.36;1266918.38;275.49;54;35;31;0.6;-0.7;0.4;7;7
2613210.92;1266917.75;275.74;65;44;38;-0.95;-0.26;0.18;7;7
2613213.44;1266916.85;275.2;35;29;25;0.25;-0.9;0.37;7;7
2613213.19;1266916.62;274.76;46;40;34;0.25;-0.94;0.24;7;7
2613211.66;1266917.77;276.72;74;52;47;-0.54;-0.43;0.72;7;7
2613217.93;1266918.04;274.92;71;60;55;0.3;-0.89;0.35;7;7
2613211.47;1266916.47;275.44;51;36;31;0.02;-0.98;0.2;7;7
2613215.6;1266918.26;276.97;67;48;46;0.2;-0.75;0.63;7;7
2613215.66;1266917.81;275.85;43;32;28;0.3;-0.9;0.31;7;7
2613215.1;1266917.85;276.47;50;34;29;0.21;-0.91;0.37;7;7
2613213.63;1266917.58;277.01;63;46;45;0.05;-0.72;0.69;7;7
2613215.97;1266918.31;277.16;61;44;42;0.28;-0.57;0.77;7;7
2613218.36;1266918.16;275.05;50;40;37;0.25;-0.72;0.65;7;7
2613210.67;1266918.25;275.45;52;35;32;-0.96;-0.23;0.18;7;7
2613215.1;1266917.57;275.71;36;26;24;0.16;-0.95;0.28;7;7
2613214.62;1266918.31;277.29;87;63;61;-0.01;-0.22;0.98;7;7
2613210.79;1266918.05;276.0;67;53;48;-0.79;-0.49;0.36;7;7
2613211.66;1266918.35;276.19;68;48;44;-0.67;0.24;0.7;7;7
2613213.88;1266918.25;277.16;95;74;76;0.01;-0.18;0.98;7;7
2613212.4;1266917.57;277.02;79;61;61;-0.2;-0.35;0.92;7;7
2613212.4;1266917.1;276.69;63;44;43;0.17;-0.75;0.64;7;7
2613214.06;1266917.88;277.21;78;61;60;0.12;-0.32;0.94;7;7
2613218.48;1266918.38;275.49;46;30;25;0.45;-0.75;0.49;7;7
2613214.92;1266917.78;276.52;52;35;31;0.15;-0.94;0.3;7;7
2613212.21;1266917.33;276.95;79;60;60;-0.08;-0.39;0.92;7;7
2613211.16;1266916.77;275.7;59;40;35;-0.92;-0.32;0.24;7;7
2613215.65;1266916.99;274.95;35;33;28;0.3;-0.94;-0.17;7;7
2613213.38;1266917.81;277.27;83;64;65;-0.04;-0.36;0.93;7;7
2613215.04;1266917.84;276.71;46;32;29;0.15;-0.91;0.4;7;7
2613214.67;1266917.11;274.84;41;37;34;0.14;-0.96;0.24;7;7
2613211.54;1266917.11;276.33;66;49;46;-0.62;-0.42;0.67;7;7
2613215.22;1266916.31;274.86;54;60;50;-0.24;0.78;0.58;7;7
2613217.01;1266918.45;276.85;62;54;52;0.32;-0.85;0.42;7;7
2613212.89;1266917.0;276.01;47;32;29;0.25;-0.93;0.29;7;7
2613219.22;1266918.33;275.3;63;52;48;-0.6;-0.8;-0.08;7;7
2613215.35;1266917.85;276.46;52;37;34;0.28;-0.84;0.47;7;7
2613210.79;1266918.06;275.69;58;40;39;-0.84;-0.3;0.45;7;7
