X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613489.39;1266778.12;265.46;82;56;49;0.27;-0.71;-0.65;40;11
2613489.39;1266778.12;265.46;82;56;49;0.27;-0.71;-0.65;40;11
2613489.39;1266778.12;265.46;82;56;49;0.27;-0.71;-0.65;40;11
2613489.39;1266778.12;265.46;82;56;49;0.27;-0.71;-0.65;40;11
2613489.39;1266778.12;265.46;82;56;49;0.27;-0.71;-0.65;40;11
2613489.39;1266778.12;265.46;82;56;49;0.27;-0.71;-0.65;40;11
2613485.77;1266776.48;266.34;94;64;62;-0.83;-0.49;0.28;53;11
2613482.81;1266776.51;265.43;90;63;59;-0.39;-0.41;0.83;53;11
2613482.87;1266775.5;264.46;82;56;52;-0.21;-0.33;0.92;53;11
2613486.87;1266771.72;263.67;86;69;68;-0.44;-0.88;0.19;53;11
2613489.1;1266777.41;267.78;82;53;50;-0.47;-0.86;0.18;40;11
2613486.14;1266779.35;266.82;74;51;51;-0.56;0.23;0.8;53;11
2613482.25;1266777.21;264.78;76;51;48;-0.64;0.45;0.62;53;11
2613482.32;1266776.17;264.8;91;66;65;-0.45;-0.54;0.71;53;11
2613488.9;1266778.26;265.04;80;55;48;0.36;-0.64;-0.67;53;11
2613482.07;1266774.17;263.85;80;63;60;-0.58;-0.81;0.14;53;11
2613485.77;1266774.79;265.47;97;68;64;-0.9;-0.4;-0.17;53;11
2613486.2;1266778.58;267.71;74;51;47;-0.37;0.36;0.86;53;11
2613481.02;1266777.18;264.05;68;49;47;-0.45;0.15;0.88;53;11
2613488.98;1266776.95;268.5;96;67;63;-0.04;-0.72;0.69;40;11
2613488.98;1266776.0;267.53;95;64;62;-0.53;-0.76;0.37;40;11
2613488.97;1266773.99;265.6;94;63;60;-0.25;-0.85;0.46;40;11
2613488.17;1266776.2;267.05;91;65;62;-0.61;-0.36;0.7;40;11
2613489.1;1266777.41;267.59;77;50;46;-0.38;-0.76;0.53;40;11
2613486.39;1266778.83;267.54;72;49;51;-0.5;0.48;0.72;53;11
2613485.53;1266777.85;267.44;79;55;49;-0.5;-0.34;0.8;53;11
2613486.94;1266776.51;266.95;91;65;65;0.09;-0.72;0.69;53;11
2613487.93;1266776.73;267.82;91;65;65;-0.51;-0.77;0.38;40;11
2613488.05;1266775.64;265.74;92;66;67;-0.46;-0.78;0.42;53;11
2613480.28;1266776.76;263.91;77;72;61;-0.19;-0.02;0.98;53;11
2613484.47;1266776.93;264.39;84;56;52;0.54;-0.18;0.82;53;11
2613489.1;1266775.65;267.15;94;64;60;-0.46;-0.51;0.73;40;11
2613487.68;1266779.61;268.0;72;54;58;-0.1;0.53;0.84;71;11
2613489.28;1266773.63;265.16;94;65;61;0.4;0.0;0.92;40;11
2613486.14;1266779.3;266.51;74;52;47;-0.7;0.44;0.56;53;11
2613485.65;1266778.41;267.28;77;50;49;-0.52;0.54;0.66;53;11
2613486.45;1266778.64;267.78;74;51;49;-0.51;0.3;0.81;53;11
2613486.51;1266774.53;265.82;97;69;65;-0.9;-0.21;0.38;53;11
2613486.56;1266774.64;264.72;97;68;64;-0.47;-0.84;0.28;53;11
2613488.72;1266773.7;265.04;92;67;62;0.56;-0.49;0.67;53;11
2613487.31;1266778.72;267.28;72;54;52;-0.92;-0.15;0.35;53;11
2613484.72;1266778.52;266.06;73;49;50;-0.55;0.57;0.61;53;11
2613484.66;1266777.6;265.96;75;53;53;-0.17;-0.91;0.37;53;11
2613485.09;1266778.38;266.54;74;50;50;-0.63;0.62;0.46;53;11
2613484.72;1266773.19;263.86;80;62;61;-0.23;-0.48;0.85;53;11
2613488.29;1266771.1;263.95;80;57;55;-0.49;-0.73;0.47;53;11
2613487.62;1266779.11;268.28;76;58;62;-0.19;0.46;0.87;40;11
2613488.85;1266777.89;266.57;74;50;46;-0.26;0.21;0.94;40;11
2613487.74;1266777.02;266.66;74;50;46;-0.67;-0.67;0.32;53;11
2613488.91;1266775.64;265.73;95;64;59;-0.02;1.0;0.05;40;11
2613488.73;1266774.86;266.75;95;64;61;-0.26;-0.38;0.89;40;11
2613488.79;1266776.23;267.85;94;63;61;-0.74;-0.57;0.37;40;11
2613488.73;1266775.17;266.82;95;64;61;0.15;-0.27;0.95;40;11
2613488.79;1266774.22;265.86;93;62;59;-0.61;-0.48;0.63;40;11
2613489.04;1266777.18;268.69;88;61;58;-0.25;-0.72;0.65;40;11
2613487.37;1266777.74;265.7;81;56;50;-0.44;-0.72;-0.53;53;11
2613489.27;1266778.83;264.69;80;55;48;0.32;-0.66;-0.68;71;11
2613488.4;1266778.67;263.95;82;55;48;-0.19;-0.8;0.56;71;11
2613483.61;1266775.74;264.84;86;59;53;-0.18;-0.32;0.93;53;11
2613484.6;1266773.83;264.81;81;58;48;-0.05;-0.1;0.99;53;11
2613485.21;1266773.07;263.92;81;58;55;-0.11;-0.51;0.85;53;11
2613487.0;1266776.87;267.27;90;65;63;-0.08;-0.76;0.65;53;11
2613482.99;1266778.0;265.18;70;51;50;-0.88;0.26;0.39;53;11
2613487.92;1266772.55;264.44;77;53;53;-0.18;-0.59;0.79;53;11
2613485.59;1266777.66;267.43;82;57;52;-0.51;-0.26;0.82;53;11
2613488.17;1266776.09;266.8;94;68;68;-0.49;-0.56;0.67;40;11
2613483.3;1266776.33;265.42;98;70;68;0.22;-0.78;0.59;53;11
2613487.93;1266779.04;268.4;72;55;58;0.0;0.59;0.81;40;11
2613483.8;1266776.81;265.56;95;66;65;0.38;-0.8;0.47;53;11
2613487.55;1266771.39;264.21;79;58;52;-0.47;-0.88;0.04;53;11
2613487.44;1266779.11;268.22;77;57;60;-0.35;0.42;0.84;40;11
2613481.76;1266777.79;264.25;73;52;47;-0.49;0.11;0.87;53;11
2613485.4;1266778.04;267.33;77;50;48;-0.51;0.16;0.84;53;11
2613486.51;1266776.16;266.69;91;64;63;0.12;-0.65;0.75;53;11
2613484.47;1266778.14;266.29;70;49;49;-0.6;0.57;0.56;53;11
2613488.48;1266775.17;266.82;94;64;62;-0.23;-0.56;0.8;40;11
2613486.5;1266775.18;264.99;92;66;65;-0.24;-0.88;0.4;53;11
2613486.51;1266777.11;267.34;91;64;61;-0.09;-0.58;0.81;53;11
2613482.87;1266774.9;264.25;78;56;52;-0.06;-0.2;0.98;53;11
2613485.64;1266775.04;265.41;96;66;64;-0.9;-0.4;-0.17;53;11
2613488.29;1266773.09;264.83;81;54;48;-0.26;-0.25;0.93;53;11
2613489.22;1266777.45;266.79;74;50;46;-0.28;-0.18;0.94;40;11
2613488.17;1266777.48;266.0;74;50;46;-0.73;-0.18;-0.66;53;11
2613487.62;1266778.86;268.34;79;59;63;-0.31;0.33;0.89;40;11
2613485.77;1266778.78;267.23;70;51;51;-0.43;0.66;0.62;53;11
2613485.77;1266776.87;267.15;86;59;55;-0.42;-0.58;0.69;53;11
2613485.83;1266774.62;264.97;87;58;54;-0.69;-0.65;0.32;53;11
2613488.6;1266774.05;265.48;95;65;60;-0.35;-0.55;0.76;40;11
2613485.96;1266776.87;267.28;87;60;55;-0.15;-0.53;0.83;53;11
2613488.78;1266778.64;266.35;75;50;46;0.43;-0.9;0.05;40;11
2613483.86;1266774.28;264.28;83;57;51;-0.08;-0.02;1.0;53;11
2613489.16;1266776.84;266.58;82;55;49;0.5;-0.87;0.02;40;11
2613487.37;1266777.74;265.7;81;56;50;-0.44;-0.72;-0.53;53;11
2613489.27;1266778.83;264.69;80;55;48;0.32;-0.66;-0.68;71;11
2613488.29;1266770.99;263.63;95;81;78;-0.49;-0.87;-0.06;53;11
2613486.94;1266779.38;267.56;73;49;49;-0.54;0.47;0.7;53;11
2613486.5;1266775.18;264.99;92;66;65;-0.24;-0.88;0.4;53;11
2613488.67;1266778.93;268.27;68;49;50;0.07;0.45;0.89;40;11
2613482.56;1266779.01;264.48;73;50;45;-0.06;0.33;0.94;53;11
2613485.46;1266777.07;266.92;86;56;53;-0.58;-0.59;0.56;53;11
2613487.62;1266778.61;268.45;79;58;59;-0.26;0.15;0.95;40;11
2613484.23;1266777.06;265.63;87;57;54;-0.2;-0.81;0.55;53;11
2613485.4;1266774.27;264.58;88;57;52;-0.24;-0.1;0.97;53;11
2613487.5;1266777.69;268.41;85;60;57;-0.46;-0.45;0.77;40;11
2613487.5;1266776.74;267.51;90;65;64;-0.46;-0.76;0.45;53;11
2613489.34;1266771.44;264.63;77;52;49;-0.44;-0.29;0.85;40;11
2613485.21;1266778.5;266.48;73;49;51;-0.61;0.69;0.4;53;11
2613484.22;1266778.54;265.5;75;49;48;-0.44;0.39;0.81;53;11
2613483.11;1266778.87;264.91;74;51;43;-0.86;0.1;0.5;53;11
2613487.43;1266777.21;266.42;83;57;50;-0.48;-0.73;-0.49;53;11
2613482.56;1266774.96;264.25;85;60;55;-0.23;-0.21;0.95;53;11
2613487.68;1266776.51;267.01;91;66;65;-0.29;-0.82;0.48;53;11
2613486.76;1266776.51;266.95;92;64;64;0.12;-0.7;0.71;53;11
2613486.69;1266775.38;265.98;92;65;65;-0.26;-0.81;0.53;53;11
2613485.09;1266778.03;267.39;71;51;44;-0.34;-0.58;0.74;53;11
2613481.14;1266774.79;263.76;82;64;64;-0.44;-0.89;0.09;53;11
2613484.47;1266776.93;264.39;84;56;52;0.54;-0.18;0.82;53;11
2613485.83;1266778.31;266.6;80;60;62;-0.4;0.75;0.53;53;11
2613487.0;1266772.51;264.07;86;56;54;-0.22;-0.29;0.93;53;11
2613483.79;1266775.61;264.83;84;58;51;-0.17;-0.13;0.98;53;11
2613484.84;1266774.63;264.79;85;57;51;-0.1;-0.61;0.78;53;11
2613480.84;1266775.53;263.79;81;59;55;-0.5;-0.23;0.83;53;11
2613484.6;1266773.83;264.81;81;58;48;-0.05;-0.1;0.99;53;11
2613488.78;1266770.67;263.93;81;63;60;-0.54;-0.82;0.19;53;11
2613487.3;1266771.95;264.11;79;53;49;-0.36;-0.45;0.82;53;11
2613480.84;1266776.2;264.07;78;57;53;-0.44;-0.24;0.87;53;11
2613480.9;1266775.28;263.91;82;61;57;-0.5;-0.12;0.86;53;11
2613487.8;1266771.4;264.08;69;49;45;-0.55;-0.72;0.43;53;11
2613486.38;1266773.27;264.85;85;57;52;-0.46;-0.74;0.49;53;11
2613486.38;1266772.39;263.88;81;58;53;-0.33;-0.53;0.78;53;11
2613481.63;1266779.46;264.01;78;72;65;-0.23;0.09;0.97;53;11
2613483.85;1266773.32;263.63;85;69;67;-0.54;-0.84;-0.02;53;11
2613489.1;1266777.61;268.83;80;57;58;-0.02;0.03;1.0;40;11
2613486.32;1266771.91;263.62;100;86;85;-0.43;-0.9;0.09;53;11
2613487.49;1266779.41;267.07;80;56;52;-0.95;0.01;-0.31;71;11
2613482.49;1266779.27;264.31;73;51;44;-0.23;0.33;0.92;53;11
2613483.67;1266774.28;264.28;86;57;54;-0.18;-0.19;0.96;53;11
2613487.55;1266771.39;264.21;79;58;52;-0.47;-0.88;0.05;53;11
2613481.57;1266778.54;264.1;70;54;49;-0.46;0.21;0.86;53;11
2613487.37;1266776.75;267.33;90;65;64;-0.33;-0.83;0.46;53;11
2613486.51;1266775.62;266.24;92;66;66;-0.24;-0.7;0.67;53;11
2613485.4;1266778.53;267.22;74;50;43;-0.75;0.3;0.59;53;11
