X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613274.17;1266700.17;273.17;91;68;68;0.45;0.35;0.82;26;3
2613274.29;1266700.25;272.8;57;50;46;0.48;-0.83;0.29;26;3
2613274.23;1266700.3;272.99;61;48;44;0.48;-0.6;0.64;26;3
2613274.05;1266700.23;273.05;76;58;56;0.3;-0.65;0.7;26;3
2613273.8;1266700.18;272.86;86;73;71;-0.24;-0.97;-0.05;26;3
2613274.05;1266700.18;272.8;71;61;58;-0.01;-0.99;0.16;26;3
2613264.22;1266730.57;272.07;52;41;39;-0.72;0.62;0.32;3;3
2613266.63;1266722.07;272.2;72;57;54;-0.72;-0.69;0.07;84;3
2613263.67;1266724.16;272.18;104;90;89;-0.47;-0.88;0.09;84;3
2613262.5;1266728.16;272.16;56;42;40;-0.75;0.47;0.48;3;3
2613264.52;1266731.06;272.09;57;45;43;-0.79;0.52;0.33;3;3
2613263.72;1266730.02;272.05;57;45;42;-0.76;0.57;0.3;3;3
2613263.12;1266724.64;272.38;77;62;58;-0.55;-0.82;0.16;84;3
2613263.79;1266729.81;272.53;66;50;47;-0.67;0.35;0.65;3;3
2613264.34;1266730.54;272.75;66;51;47;-0.68;0.44;0.58;3;3
2613261.57;1266727.06;272.12;56;47;45;-0.64;0.49;0.59;84;3
2613261.45;1266725.64;272.12;85;78;76;-0.55;-0.81;0.21;84;3
2613261.39;1266725.81;272.32;68;55;53;-0.61;-0.72;0.34;84;3
2613265.4;1266722.98;272.43;82;62;59;-0.59;-0.78;0.19;84;3
2613262.38;1266725.08;272.22;84;72;69;-0.55;-0.83;0.03;84;3
2613261.39;1266726.61;272.35;63;52;50;-0.54;0.48;0.69;84;3
2613264.22;1266730.62;272.32;61;45;43;-0.78;0.55;0.3;3;3
2613264.23;1266723.78;272.4;92;72;70;-0.46;-0.84;0.29;84;3
2613264.83;1266730.85;272.76;65;49;46;-0.29;0.17;0.94;3;3
2613266.32;1266722.25;272.21;87;69;65;-0.52;-0.85;0.09;84;3
2613262.38;1266727.53;272.57;64;48;46;-0.56;0.4;0.72;3;3
2613262.86;1266728.78;272.06;54;43;41;-0.78;0.53;0.32;3;3
2613264.89;1266731.74;272.05;56;43;40;-0.78;0.58;0.26;3;3
2613262.38;1266725.01;272.34;80;66;63;-0.54;-0.84;0.08;84;3
2613263.73;1266729.83;272.16;54;44;41;-0.67;0.53;0.52;3;3
2613262.37;1266728.04;272.1;55;44;42;-0.73;0.48;0.48;3;3
2613264.34;1266731.0;272.09;64;49;45;-0.78;0.56;0.3;3;3
2613264.28;1266730.61;272.56;66;49;47;-0.74;0.5;0.44;3;3
2613263.23;1266729.21;272.14;54;44;43;-0.81;0.44;0.39;3;3
2613263.3;1266728.58;272.61;69;51;49;-0.36;0.21;0.91;3;3
2613261.45;1266727.05;272.12;63;59;56;-0.57;0.51;0.64;84;3
2613265.02;1266731.6;272.54;67;48;45;-0.74;0.43;0.51;3;3
2613261.88;1266726.85;272.6;66;48;47;-0.43;0.21;0.88;84;3
2613265.02;1266731.35;272.71;71;53;49;-0.52;0.42;0.75;3;3
2613264.66;1266723.47;272.39;78;61;57;-0.57;-0.81;0.15;84;3
2613261.7;1266725.44;272.36;84;69;66;-0.56;-0.8;0.21;84;3
2613263.55;1266724.33;272.43;77;61;57;-0.58;-0.81;0.1;84;3
2613263.97;1266729.56;272.71;66;50;47;-0.59;0.2;0.78;3;3
2613264.53;1266730.79;272.69;70;52;50;-0.74;0.52;0.43;3;3
2613262.19;1266727.79;272.27;62;51;48;-0.46;0.45;0.77;3;3
2613262.19;1266727.6;272.33;59;46;43;-0.55;0.48;0.68;3;3
2613262.99;1266728.65;272.43;62;48;46;-0.59;0.33;0.74;3;3
2613261.21;1266726.62;272.29;67;59;57;-0.59;0.37;0.72;84;3
2613264.95;1266731.67;272.36;63;46;43;-0.75;0.48;0.46;3;3
2613264.16;1266730.5;272.31;58;43;40;-0.77;0.57;0.27;3;3
2613262.56;1266727.84;272.58;66;49;46;-0.44;0.34;0.83;3;3
2613264.46;1266730.8;272.57;67;50;48;-0.71;0.5;0.5;3;3
2613263.54;1266728.82;272.62;68;49;45;-0.34;0.24;0.91;3;3
2613264.89;1266731.48;272.47;66;47;44;-0.75;0.49;0.44;3;3
2613262.62;1266728.28;272.35;59;46;44;-0.7;0.4;0.58;3;3
2613263.79;1266729.56;272.58;67;49;48;-0.64;0.36;0.68;3;3
2613263.48;1266729.39;272.39;65;49;46;-0.65;0.39;0.65;3;3
2613261.7;1266727.29;272.32;61;55;51;-0.58;0.37;0.72;3;3
2613265.08;1266731.73;272.48;65;47;44;-0.74;0.46;0.48;3;3
2613264.16;1266723.73;272.16;116;99;98;-0.5;-0.83;0.22;84;3
2613262.19;1266727.53;272.51;61;48;44;-0.51;0.41;0.75;3;3
2613262.13;1266725.19;272.53;70;54;50;-0.58;-0.79;0.18;84;3
2613266.88;1266721.58;272.06;70;62;59;-0.94;-0.33;-0.05;84;3
2613263.11;1266728.83;272.5;65;49;46;-0.53;0.27;0.8;3;3
2613264.03;1266729.81;272.66;66;50;48;-0.62;0.27;0.73;3;3
