X coordinate;Y coordinate;Z coordinate;Red color (0-1);Green color (0-1);Blue color (0-1);X scan dir;Y scan dir;Z scan dir;Color Cluster;Reclump_Adjazenz
2613283.83;1266947.09;265.6;71;54;51;-0.9;-0.31;0.29;4;4
2613282.6;1266950.58;265.94;77;59;57;-0.45;-0.29;0.85;68;4
2613283.52;1266948.74;265.86;78;58;56;-0.18;-0.1;0.98;4;4
2613284.19;1266950.35;265.68;99;71;68;-0.97;-0.07;0.23;4;4
2613281.55;1266951.69;265.93;85;61;56;-0.54;-0.32;0.78;68;4
2613281.05;1266952.37;265.84;78;58;54;-0.68;-0.27;0.68;68;4
2613284.19;1266950.35;265.68;99;71;68;-0.97;-0.07;0.23;4;4
2613284.07;1266949.54;265.77;91;71;70;0.06;-0.19;0.98;4;4
2613281.05;1266952.62;265.91;81;61;60;-0.53;-0.21;0.82;68;4
2613282.35;1266949.98;265.61;86;68;65;-0.83;-0.45;0.33;68;4
2613281.12;1266952.13;265.82;77;58;55;-0.81;-0.4;0.43;68;4
2613280.56;1266952.93;265.68;84;67;65;-0.88;-0.48;-0.02;68;4
2613283.52;1266948.07;265.71;80;59;55;-0.66;-0.31;0.68;4;4
2613283.27;1266949.29;265.88;79;57;51;-0.33;-0.21;0.92;4;4
2613282.29;1266950.16;265.68;85;64;59;-0.79;-0.45;0.42;68;4
2613281.55;1266952.67;266.09;77;55;53;-0.24;-0.03;0.97;68;4
2613283.03;1266950.52;266.0;84;61;50;-0.09;-0.12;0.99;68;4
2613282.29;1266950.41;265.75;80;58;53;-0.67;-0.35;0.65;68;4
2613283.09;1266948.51;265.48;85;69;67;-0.89;-0.44;0.14;4;4
2613281.3;1266952.92;265.92;76;56;53;-0.3;-0.31;0.9;68;4
2613283.27;1266949.9;265.97;84;61;58;0.04;-0.35;0.93;4;4
2613284.26;1266946.54;265.52;79;59;56;-0.51;-0.45;0.73;4;4
2613282.47;1266949.68;265.41;90;75;72;-0.88;-0.48;0.04;4;4
2613283.95;1266946.98;265.29;94;79;75;-0.86;-0.5;-0.09;4;4
2613281.24;1266952.12;265.89;77;58;55;-0.57;-0.24;0.79;68;4
2613284.26;1266949.23;265.94;83;59;52;0.21;0.01;0.98;4;4
2613280.68;1266952.87;265.61;86;69;64;-0.85;-0.49;0.17;68;4
2613283.03;1266948.75;265.68;76;56;54;-0.46;-0.19;0.87;4;4
2613281.24;1266951.9;265.45;95;76;72;-0.88;-0.46;0.11;68;4
2613281.79;1266950.84;265.58;83;64;61;-0.89;-0.43;0.12;68;4
2613283.83;1266947.03;265.48;85;70;69;-0.9;-0.44;0.03;4;4
2613283.52;1266949.72;265.9;83;62;60;-0.13;-0.13;0.98;4;4
2613282.84;1266949.05;265.69;78;59;55;-0.8;-0.45;0.4;4;4
2613283.77;1266948.0;265.83;78;56;52;-0.43;-0.13;0.89;4;4
2613282.22;1266950.18;265.19;105;92;90;-0.89;-0.46;-0.02;68;4
2613283.77;1266950.22;265.92;93;69;67;-0.0;-0.16;0.99;4;4
2613281.61;1266951.21;265.6;84;63;59;-0.84;-0.47;0.25;68;4
2613283.21;1266948.45;265.48;86;68;64;-0.8;-0.43;0.42;4;4
2613283.34;1266948.01;265.52;83;65;63;-0.89;-0.43;0.13;4;4
2613284.26;1266947.75;265.88;84;62;58;-0.07;-0.05;1.0;4;4
2613282.84;1266948.95;265.25;101;86;83;-0.89;-0.46;0.06;4;4
2613282.97;1266948.99;265.69;78;58;53;-0.51;-0.36;0.78;4;4
2613281.79;1266950.85;265.46;92;76;73;-0.88;-0.48;0.05;68;4
2613283.52;1266948.99;265.87;79;57;54;-0.27;-0.1;0.96;4;4
2613281.05;1266952.13;265.64;82;64;62;-0.83;-0.45;0.32;68;4
2613284.01;1266947.33;265.74;76;53;49;-0.18;-0.13;0.97;4;4
2613283.89;1266947.04;265.29;94;79;76;-0.88;-0.47;-0.09;4;4
2613283.03;1266949.72;265.9;77;57;55;-0.15;-0.28;0.95;4;4
2613282.04;1266950.89;265.89;79;60;55;-0.6;-0.33;0.73;68;4
2613282.97;1266949.97;265.91;76;58;55;-0.19;-0.42;0.89;4;4
2613281.49;1266951.39;265.67;82;61;56;-0.8;-0.5;0.32;68;4
2613282.6;1266949.48;265.71;76;56;52;-0.82;-0.44;0.37;4;4
2613283.58;1266947.58;265.69;79;64;62;-0.08;-0.04;1.0;4;4
2613281.48;1266952.86;265.98;74;55;54;-0.3;-0.34;0.89;68;4
2613283.83;1266947.51;265.75;73;55;52;0.05;0.01;1.0;4;4
2613281.18;1266951.89;265.63;81;64;63;-0.84;-0.37;0.38;68;4
2613283.64;1266950.47;265.81;96;68;64;-0.09;-0.17;0.98;4;4
2613284.19;1266950.35;265.68;99;71;68;-0.97;-0.07;0.23;4;4
2613280.99;1266952.39;265.41;92;76;73;-0.87;-0.49;-0.01;68;4
2613284.26;1266946.96;265.66;81;60;58;-0.03;-0.39;0.92;4;4
2613284.01;1266947.45;265.74;76;54;50;-0.03;-0.07;1.0;4;4
2613283.34;1266948.93;265.81;79;57;53;-0.31;-0.26;0.91;4;4
2613280.87;1266952.45;265.41;96;78;75;-0.87;-0.5;-0.02;68;4
2613282.97;1266949.24;265.76;79;57;52;-0.45;-0.17;0.87;4;4
2613281.86;1266950.72;265.64;84;65;62;-0.88;-0.46;0.12;68;4
2613283.34;1266948.74;265.74;78;56;53;-0.35;-0.21;0.91;4;4
2613282.29;1266949.99;265.42;92;76;70;-0.88;-0.47;0.07;68;4
2613281.3;1266951.7;265.68;81;65;61;-0.85;-0.44;0.3;68;4
2613281.79;1266951.44;266.04;80;58;53;-0.53;-0.29;0.8;68;4
2613284.01;1266948.74;265.92;85;66;67;-0.15;-0.27;0.95;4;4
2613282.96;1266948.94;265.5;89;71;66;-0.78;-0.45;0.43;4;4
2613281.24;1266952.37;265.9;81;61;58;-0.54;-0.07;0.84;68;4
2613282.29;1266950.71;265.95;83;63;59;-0.31;-0.21;0.93;68;4
2613281.85;1266950.73;265.46;92;74;72;-0.88;-0.48;0.03;68;4
2613282.9;1266948.76;265.43;92;77;75;-0.87;-0.48;0.12;4;4
2613283.52;1266949.84;265.97;79;58;55;-0.18;-0.3;0.94;4;4
2613283.95;1266946.97;265.41;88;71;67;-0.8;-0.56;0.21;4;4
2613282.97;1266950.15;265.92;78;60;59;-0.48;-0.56;0.68;68;4
2613282.72;1266950.46;266.0;75;58;55;-0.46;-0.35;0.81;68;4
2613283.27;1266950.4;265.99;89;65;58;-0.11;-0.2;0.97;68;4
2613283.27;1266949.48;265.89;82;57;52;-0.3;-0.02;0.95;4;4
2613281.98;1266950.66;265.64;86;65;61;-0.86;-0.46;0.25;68;4
2613281.73;1266951.44;265.98;85;62;56;-0.58;-0.41;0.7;68;4
2613282.22;1266950.11;265.49;92;76;70;-0.87;-0.48;0.14;68;4
2613282.47;1266950.16;265.74;84;63;58;-0.33;-0.14;0.93;68;4
2613283.46;1266948.19;265.71;79;57;54;-0.5;-0.14;0.85;4;4
2613284.08;1266948.25;265.9;82;57;54;-0.25;-0.15;0.96;4;4
2613283.03;1266948.7;265.24;99;83;78;-0.86;-0.5;0.01;4;4
2613280.81;1266952.64;265.42;97;82;77;-0.86;-0.5;-0.07;68;4
2613282.29;1266950.46;265.81;81;60;55;-0.58;-0.32;0.75;68;4
2613281.67;1266952.92;266.1;78;56;54;-0.49;-0.4;0.78;68;4
2613284.26;1266949.23;265.88;83;60;52;0.4;0.07;0.91;4;4
2613282.66;1266949.25;265.45;96;83;82;-0.83;-0.55;0.08;4;4
2613283.77;1266947.29;265.24;104;89;87;-0.88;-0.48;-0.04;4;4
2613281.92;1266950.6;265.45;94;77;73;-0.88;-0.48;0.02;68;4
2613282.97;1266948.69;265.49;86;70;66;-0.87;-0.47;0.17;4;4
2613284.19;1266950.35;265.68;99;71;68;-0.97;-0.07;0.23;4;4
2613284.08;1266947.81;265.88;84;61;58;-0.12;-0.11;0.99;4;4
2613284.08;1266946.72;265.46;87;68;64;-0.61;-0.62;0.48;4;4
2613282.84;1266949.72;265.9;77;58;56;-0.07;-0.24;0.97;4;4
2613283.95;1266951.25;266.27;83;57;54;0.21;-0.22;0.95;68;4
2613283.27;1266951.31;266.34;84;61;50;0.37;0.02;0.93;68;4
2613283.58;1266951.96;266.98;92;73;69;-0.62;-0.19;0.76;68;4
2613282.04;1266951.19;266.15;80;61;60;-0.36;-0.13;0.92;68;4
2613282.41;1266952.35;266.32;78;58;57;-0.16;0.08;0.98;68;4
2613283.7;1266952.9;266.58;83;58;53;-0.36;-0.13;0.92;68;4
2613283.27;1266950.02;266.16;80;55;47;0.13;-0.55;0.83;4;4
2613282.23;1266951.93;266.18;78;56;52;-0.24;0.13;0.96;68;4
2613282.84;1266951.98;266.43;77;58;56;-0.41;0.0;0.91;68;4
2613283.15;1266950.76;266.19;90;64;59;-0.11;-0.46;0.88;68;4
2613281.98;1266952.73;266.15;73;55;55;-0.31;-0.45;0.84;68;4
2613283.52;1266952.22;266.56;81;59;55;-0.18;-0.06;0.98;68;4
2613283.27;1266952.16;266.43;80;56;52;-0.28;-0.03;0.96;68;4
2613281.98;1266951.68;266.17;78;57;55;-0.27;0.02;0.96;68;4
2613281.73;1266952.11;266.13;79;57;55;-0.16;-0.1;0.98;68;4
2613283.39;1266952.84;266.46;82;58;54;-0.26;-0.16;0.95;68;4
2613283.34;1266950.14;266.23;82;57;50;0.09;-0.45;0.89;4;4
2613282.53;1266951.0;266.33;82;58;54;-0.52;-0.13;0.84;68;4
2613281.79;1266951.93;266.18;79;57;55;-0.16;-0.06;0.99;68;4
2613284.2;1266951.98;266.54;82;60;56;0.04;-0.23;0.97;68;4
2613283.58;1266951.96;266.98;92;73;69;-0.62;-0.19;0.76;68;4
