Tree_ID,E,N,Height_m,Crown_Diameter_m
1,2612151.95,1266080.370588235,289.57,7.36
2,2612262.203846154,1266151.3948717949,288.54,7.88
3,2612189.6935897437,1266116.8102564102,287.65,6.1
4,2612176.185915493,1266111.9985915492,287.61,6.72
5,2612226.9833333334,1266079.1358974357,286.92,7.88
6,2612218.561675127,1266084.9355329948,286.81,7.92
7,2612167.6080882354,1266093.745588235,286.78,6.58
8,2612261.9126168224,1266145.1570093457,286.72,5.84
9,2612123.559090909,1266077.7636363634,286.63,5.92
10,2612305.45867052,1266104.1283236993,286.55,7.42
11,2612244.709146342,1266090.994512195,286.42,7.23
12,2612203.5951612904,1266114.3612903224,286.41,7.02
13,2612227.9159685867,1266160.954973822,286.22,7.8
14,2612182.921153846,1266104.0314102564,286.01,7.05
15,2612194.731065089,1266090.0686390533,286.01,7.33
16,2612162.5360215055,1266092.7870967742,285.92,5.44
17,2612247.154761905,1266073.7999999998,285.9,5.78
18,2612237.170930233,1266171.3970930232,285.7,7.4
19,2612238.042592593,1266109.3814814815,285.69,6.56
20,2612314.568644068,1266096.351977401,285.54,7.51
21,2612669.828504673,1266017.5121495326,285.53,10.11
22,2612178.35,1266101.6549999998,285.46,5.64
23,2612194.876724138,1266106.9905172412,285.39,6.08
24,2612115.242,1266162.856,285.38,6.31
25,2612202.2872093027,1266141.9620155038,285.15,6.41
26,2612206.2625,1266193.2125,285.15,6.18
27,2612227.4945859876,1266177.2025477707,285.1,7.07
28,2612208.205,1266157.66,285.07,5.64
29,2612214.777777778,1266205.4166666665,285.07,5.35
30,2612107.9216981134,1266129.0273584905,285.05,5.81
31,2612217.872794118,1266078.1463235293,285.03,6.58
32,2613264.2,1266088.9,285.0,1.95
33,2613175.385897436,1266890.1564102564,284.96,7.88
34,2612110.089130435,1266251.5130434781,284.91,8.56
35,2612254.2708955226,1266137.534328358,284.87,6.53
36,2612248.038757397,1266131.0005917158,284.8,7.33
37,2612111.597540984,1266258.6295081966,284.76,6.23
38,2612281.061111111,1266235.261111111,284.76,5.86
39,2613258.4664473687,1266817.960855263,284.75,9.84
40,2612185.297107438,1266301.085950413,284.74,6.21
41,2612244.194525548,1266160.2686131387,284.66,6.6
42,2612189.8181818184,1266130.7227272727,284.6,5.92
43,2612240.660144928,1266199.8347826086,284.59,4.69
44,2612708.6382911396,1266038.2401898734,284.59,10.03
45,2612258.5508064516,1266083.847580645,284.56,6.28
46,2612124.030536913,1266201.054362416,284.49,6.89
47,2612115.890909091,1266197.4909090907,284.48,5.92
48,2612141.2980662985,1266213.8392265192,284.48,7.59
49,2612179.8619318185,1266309.43125,284.48,7.48
50,2612190.0364661654,1266176.2308270675,284.46,6.51
51,2613245.600735294,1266728.3650735293,284.38,9.3
52,2612105.435380117,1266240.645614035,284.37,7.38
53,2612157.6314516133,1266316.6419354838,284.37,6.28
54,2612130.1358638746,1266346.630366492,284.36,7.8
