Tree_ID,X,Y,Z,Tree_Height_m,Crown_Height_m,Crown_Diameter_m,Trunk_Height_m,Trunk_Diameter_m,Crown_R,Crown_G,Crown_B,Trunk_R,Trunk_G,Trunk_B
0,2612746.2834653463,1266077.5255445545,275.7699996948242,15.93,10.620001,8.02,5.3100004,1.3366666666666664,42.0,49.0,46.0,139.0,69.0,19.0
1,2612752.55760181,1266071.141085973,276.5500003814697,15.15,10.1,8.39,5.05,1.3983333333333334,42.0,49.0,46.0,139.0,69.0,19.0
2,2612152.008698225,1266080.2427218936,277.109999961853,12.46,8.306667,7.33,4.1533337,1.2216666666666667,42.0,49.0,46.0,139.0,69.0,19.0
3,2612774.5435021096,1266006.600042194,271.78000045776366,17.73,11.82,12.28,5.91,2.0466666666666664,42.0,49.0,46.0,139.0,69.0,19.0
4,2612262.242244898,1266151.381020408,274.9799995803833,13.56,9.040001,7.9,4.5200005,1.3166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
5,2612189.63877193,1266116.8168421052,276.3099998474121,11.34,7.5600004,6.02,3.7800002,1.0033333333333332,42.0,49.0,46.0,139.0,69.0,19.0
6,2612176.2163309352,1266111.9864748202,276.50000034332277,11.11,7.4066668,6.65,3.7033334,1.1083333333333334,42.0,49.0,46.0,139.0,69.0,19.0
7,2612227.279171271,1266079.0081767957,276.3500003051758,10.57,7.0466666,7.59,3.5233333,1.265,42.0,49.0,46.0,139.0,69.0,19.0
8,2612218.58026178,1266084.9307853405,276.2800002670288,10.53,7.02,7.8,3.51,1.2999999999999998,42.0,49.0,46.0,139.0,69.0,19.0
9,2612167.600833333,1266094.0591666668,277.0400002288818,9.74,6.4933333,6.18,3.2466667,1.0299999999999998,42.0,49.0,46.0,139.0,69.0,19.0
10,2612261.851698113,1266145.1649056606,275.00999996185305,11.71,7.806667,5.81,3.9033334,0.9683333333333333,42.0,49.0,46.0,139.0,69.0,19.0
11,2612123.611981982,1266077.8367567568,277.4099997329712,9.22,6.146667,5.94,3.0733335,0.99,42.0,49.0,46.0,139.0,69.0,19.0
12,2612305.2638028166,1266103.7454929578,275.15000038146974,11.4,7.6,6.72,3.8,1.1199999999999999,42.0,49.0,46.0,139.0,69.0,19.0
13,2612792.03625,1266024.13,271.8900001525879,14.66,9.773334,8.74,4.886667,1.4566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
14,2612697.248556701,1266013.2397938145,272.3699995803833,14.06,9.373334,9.62,4.686667,1.603333333333333,42.0,49.0,46.0,139.0,69.0,19.0
15,2612244.791764706,1266090.953529412,275.8599995803833,10.56,7.0400004,7.36,3.5200002,1.2266666666666666,42.0,49.0,46.0,139.0,69.0,19.0
16,2612203.6616901406,1266114.389859155,275.9500002670288,10.28,6.8533335,6.72,3.4266667,1.1199999999999999,42.0,49.0,46.0,139.0,69.0,19.0
17,2612227.953979592,1266161.0340816327,275.1199996185303,11.1,7.4000006,7.9,3.7000003,1.3166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
18,2612751.6164864865,1266017.5293243243,272.7800003051758,13.32,8.88,6.86,4.44,1.1433333333333333,42.0,49.0,46.0,139.0,69.0,19.0
19,2612182.9971875,1266104.58,276.299999961853,9.71,6.4733334,6.38,3.2366667,1.0633333333333332,42.0,49.0,46.0,139.0,69.0,19.0
20,2612194.7728571426,1266090.173167702,276.6999995803833,9.31,6.206667,7.16,3.1033335,1.1933333333333334,42.0,49.0,46.0,139.0,69.0,19.0
21,2612162.4633333334,1266093.5985185185,277.0100001525879,8.91,5.94,4.15,2.97,0.6916666666666667,42.0,49.0,46.0,139.0,69.0,19.0
22,2612247.2561682244,1266073.7762616824,276.0700000762939,9.83,6.5533333,5.84,3.2766666,0.9733333333333333,42.0,49.0,46.0,139.0,69.0,19.0
23,2612237.0832163743,1266171.413333333,275.1099998474121,10.59,7.0600004,7.38,3.5300002,1.23,42.0,49.0,46.0,139.0,69.0,19.0
24,2612238.053913044,1266109.4205797105,275.67999977111816,10.01,6.6733336,6.63,3.3366668,1.105,42.0,49.0,46.0,139.0,69.0,19.0
25,2612756.096887417,1266008.7985430465,271.6500002670288,14.03,9.353333,6.93,4.6766667,1.1549999999999998,42.0,49.0,46.0,139.0,69.0,19.0
26,2612669.263333333,1266018.9644444445,272.1899998474121,13.34,8.893333,8.46,4.4466667,1.4100000000000001,42.0,49.0,46.0,139.0,69.0,19.0
27,2612178.539090909,1266101.5951515152,276.4700002288818,8.99,5.9933333,5.61,2.9966667,0.935,42.0,49.0,46.0,139.0,69.0,19.0
28,2612687.5843568463,1266024.2978423238,271.7900001525879,13.66,9.106667,8.76,4.5533333,1.46,42.0,49.0,46.0,139.0,69.0,19.0
29,2612194.782173913,1266106.966956522,276.2300001525879,9.16,6.1066666,6.05,3.0533333,1.0083333333333333,42.0,49.0,46.0,139.0,69.0,19.0
30,2612115.275669291,1266162.9146456693,275.6099995422363,9.77,6.513334,6.36,3.256667,1.06,42.0,49.0,46.0,139.0,69.0,19.0
31,2612760.4913861384,1266015.1963366338,272.0500003051758,13.32,8.88,8.02,4.44,1.3366666666666664,42.0,49.0,46.0,139.0,69.0,19.0
32,2612314.7566233766,1266096.537792208,274.8800001144409,10.37,6.9133334,7.0,3.4566667,1.1666666666666665,42.0,49.0,46.0,139.0,69.0,19.0
33,2612756.4712698413,1266004.326031746,271.92,13.25,8.833334,4.48,4.416667,0.7466666666666667,42.0,49.0,46.0,139.0,69.0,19.0
34,2612202.3662204724,1266141.8831496064,275.5700000762939,9.58,6.386667,6.36,3.1933334,1.06,42.0,49.0,46.0,139.0,69.0,19.0
35,2612206.2624786324,1266193.1782905983,275.22999992370603,9.92,6.6133337,6.1,3.3066669,1.0166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
36,2612227.405,1266177.24875,275.060000038147,10.04,6.6933336,7.14,3.3466668,1.19,42.0,49.0,46.0,139.0,69.0,19.0
37,2612208.461632653,1266157.717755102,275.3899996948242,9.68,6.453334,5.59,3.226667,0.9316666666666666,42.0,49.0,46.0,139.0,69.0,19.0
38,2612215.0336144576,1266205.1522891568,274.64999992370605,10.42,6.9466667,5.14,3.4733334,0.8566666666666666,42.0,49.0,46.0,139.0,69.0,19.0
39,2612107.961683168,1266128.980990099,276.52999954223634,8.52,5.6800003,5.67,2.8400002,0.945,42.0,49.0,46.0,139.0,69.0,19.0
40,2612217.806923077,1266078.156923077,276.42999961853025,8.6,5.7333336,6.43,2.8666668,1.0716666666666665,42.0,49.0,46.0,139.0,69.0,19.0
41,2613264.344285714,1266088.9014285714,267.9099998474121,17.09,11.393333,2.11,5.6966667,0.3516666666666666,42.0,49.0,46.0,139.0,69.0,19.0
42,2612791.8969491525,1266053.455,271.0300004196167,13.94,9.293333,8.67,4.6466665,1.4449999999999998,42.0,49.0,46.0,139.0,69.0,19.0
43,2613175.4896938773,1266890.1335714287,265.9700002288818,18.99,12.66,7.9,6.33,1.3166666666666667,42.0,49.0,46.0,139.0,69.0,19.0
44,2612110.155751073,1266251.5757081546,274.120000038147,10.79,7.1933336,8.61,3.5966668,1.4349999999999998,42.0,49.0,46.0,139.0,69.0,19.0
45,2612254.320647482,1266137.58,275.04000007629395,9.83,6.5533333,6.65,3.2766666,1.1083333333333334,42.0,49.0,46.0,139.0,69.0,19.0
46,2612740.015185185,1266004.8244444446,272.24000011444093,12.62,8.413334,6.56,4.206667,1.0933333333333333,42.0,49.0,46.0,139.0,69.0,19.0
47,2612248.098023256,1266131.033488372,275.4499996185303,9.35,6.2333336,7.4,3.1166668,1.2333333333333334,42.0,49.0,46.0,139.0,69.0,19.0
48,2612111.5872649574,1266258.7637606838,274.0399997329712,10.72,7.146667,6.1,3.5733335,1.0166666666666666,42.0,49.0,46.0,139.0,69.0,19.0
49,2612281.057927928,1266235.2421621622,274.2399995422363,10.52,7.013334,5.94,3.506667,0.99,42.0,49.0,46.0,139.0,69.0,19.0
50,2612638.4304032256,1266005.9993548389,273.01,11.75,7.8333335,8.88,3.9166667,1.48,42.0,49.0,46.0,139.0,69.0,19.0
51,2613258.421245791,1266817.931851852,266.2700004577637,18.48,12.32,9.72,6.16,1.62,42.0,49.0,46.0,139.0,69.0,19.0
52,2612185.3091666666,1266301.1466666667,273.49,11.25,7.5,6.18,3.75,1.0299999999999998,42.0,49.0,46.0,139.0,69.0,19.0
53,2612244.297883212,1266160.3208759124,275.0900003051758,9.57,6.38,6.6,3.19,1.0999999999999999,42.0,49.0,46.0,139.0,69.0,19.0
54,2612758.88,1266026.9470212767,271.9899999237061,12.67,8.446667,5.47,4.2233334,0.9116666666666666,42.0,49.0,46.0,139.0,69.0,19.0
55,2612189.7936363635,1266130.8527272728,275.9000001907349,8.7,5.8,5.92,2.9,0.9866666666666666,42.0,49.0,46.0,139.0,69.0,19.0
56,2612750.79875,1266003.06125,272.20999988555906,12.38,8.253334,5.05,4.126667,0.8416666666666666,42.0,49.0,46.0,139.0,69.0,19.0
