;X coordinate;Y coordinate;Z coordinate;Red color (0-255);Green color (0-255);Blue color (0-255);X scan dir;Y scan dir;Z scan dir;Hue (°);Saturation (%);Value (%)
count;400903.0;400903.0;400903.0;400903.0;400903.0;400903.0;400903.0;400903.0;400903.0;400903.0;400903.0;400903.0
mean;2613391.8181565288;1266889.6479057681;259.1276724468936;98.78082229367203;93.8666011479086;93.0246468597142;-0.034880538145137356;-0.011191255288685798;0.07269617654644639;110.73071415911159;10.759387461925819;39.663617227246746
std;87.08376253732146;82.30624465739153;5.180067209006297;18.166129377683863;16.74973495783634;18.932901209369586;0.7538151255097585;0.612278102641785;0.22417432503800877;115.03819492928207;5.419827929597698;7.3057841480475485
min;2613203.649994;1266699.540048;250.15;15.0;17.0;14.0;-0.999993;-0.999998;-0.874733;0.0;0.0;6.666666666666667
25%;2613310.620084;1266857.570016;254.960001;88.0;83.0;80.0;-0.8234444999999999;-0.5399685000000001;-0.054997;20.00000000000004;6.779661016949152;34.90196078431372
50%;2613426.220067;1266914.760018;258.190001;99.0;96.0;95.0;-0.091664;0.004459;0.036479;33.33333333333332;10.483870967741932;40.0
75%;2613472.170018;1266951.830026;262.530001;110.0;106.0;107.0;0.798059;0.517461;0.159824;231.42857142857144;14.28571428571429;45.09803921568628
max;2613502.590062;1267001.050012;275.330001;172.0;166.0;193.0;0.999993;0.999998;0.999992;357.27272727272725;66.66666666666666;75.68627450980392
